Artist,Song,Decade,Year,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute,Problem_Type
R.E.M.,Losing My Religion,1990s,1991,"jangle pop, alternative rock, rock",86,4.47,False,0.05,0.33,294,30.61,65.72,
Shaggy,It Wasn't Me,1990s,2000,reggae,81,3.79,False,0.062,0.408,644,30.28,169.77,
Oasis,Don't Look Back in Anger - Remastered,1990s,2025,"britpop, madchester",74,4.84,False,-0.253,0.253,310,36.13,64.05,
Will Smith,Miami,1990s,1997,Unknown,73,3.29,False,0.222,0.571,669,36.62,203.18,
Spice Girls,Wannabe,1990s,1996,Unknown,81,2.88,False,0.157,0.369,574,20.38,199.05,
Corona,The Rhythm of the Night,1990s,1994,eurodance,73,4.4,False,0.253,0.463,370,22.16,84.0,
Red Hot Chili Peppers,Californication,1990s,1999,"funk rock, alternative rock, rock",85,5.5,False,0.109,0.544,296,50.0,53.86,
Everything But The Girl,Missing - Todd Terry Remix / Radio Edit,1990s,2002,Unknown,60,3.92,False,0.017,0.371,304,30.26,77.55,
2Pac,California Love - Original Version,1990s,1998,"old school hip hop, gangster rap, west coast hip hop, g-funk, hip hop",59,4.75,False,0.185,0.475,710,33.66,149.47,
The Cure,Friday I'm In Love,1990s,1992,"new wave, post-punk, gothic rock, darkwave",79,3.59,False,0.178,0.424,263,36.88,73.34,
Blur,Girls & Boys,1990s,2000,"britpop, madchester, alternative rock",70,4.32,False,0.236,0.546,338,22.78,78.18,
Crazy Town,Butterfly,1990s,2000,"rap rock, nu metal",79,3.61,False,0.026,0.708,713,28.47,197.39,
No Doubt,Just A Girl,1990s,1995,Unknown,74,3.49,False,0.065,0.513,296,38.85,84.89,
Fools Garden,Lemon Tree,1990s,1995,Unknown,77,3.18,False,-0.066,0.341,327,33.33,102.71,
Michael Jackson,Black or White,1990s,1991,Unknown,74,4.27,False,-0.018,0.386,449,36.08,105.23,
Blur,Song 2 - 2012 Remaster,1990s,1997,"britpop, madchester, alternative rock",79,2.02,False,0.15,0.768,125,38.4,61.88,
Aerosmith,Crazy,1990s,1993,"classic rock, rock",77,5.28,False,-0.186,0.763,326,38.34,61.74,
Diddy,I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,1990s,1997,"hip hop, east coast hip hop",69,5.11,False,0.016,0.47,639,32.86,125.05,
Chumbawamba,Tubthumping,1990s,1997,Unknown,72,4.65,False,-0.107,0.306,800,8.12,172.18,
Jamiroquai,Virtual Insanity - Remastered 2006,1990s,2005,acid jazz,76,3.82,False,-0.057,0.471,465,30.97,121.64,
New Radicals,You Get What You Give,1990s,1998,Unknown,81,5.01,False,0.075,0.512,458,36.68,91.36,
Mariah Carey,Fantasy,1990s,1995,christmas,79,4.06,False,0.25,0.62,326,25.46,80.33,
The Cranberries,Linger,1990s,1993,Unknown,86,4.58,False,-0.097,0.584,309,28.48,67.49,
Ricky Martin,Livin' la Vida Loca,1990s,1999,"latin pop, latin",78,4.05,False,-0.042,0.481,441,26.3,108.82,
Jamiroquai,Cosmic Girl - Remastered 2013,1990s,1996,acid jazz,72,4.07,False,0.182,0.662,330,40.3,81.08,
AC/DC,Thunderstruck,1990s,1990,"rock, hard rock, classic rock, rock and roll",87,4.87,False,0.267,0.412,265,35.47,54.39,
Ms. Lauryn Hill,Doo Wop (That Thing),1990s,1998,neo soul,77,5.34,False,0.192,0.54,1002,31.44,187.72,
Dido,Thank You,1990s,1999,Unknown,79,3.64,False,0.122,0.392,262,38.17,71.99,
Smash Mouth,All Star,1990s,1999,Unknown,79,3.34,False,-0.043,0.623,480,32.08,143.73,
blink-182,All The Small Things,1990s,1999,"pop punk, punk, rock, skate punk, emo",82,2.78,False,0.016,0.406,226,28.32,81.17,
Guns N' Roses,November Rain,1990s,1991,"rock, glam metal, hard rock, classic rock",84,8.93,False,0.054,0.753,409,32.03,45.78,
Will Smith,Gettin' Jiggy Wit It,1990s,1997,Unknown,73,3.8,False,0.145,0.642,691,31.98,181.9,
DNA,"Tom's Diner - 7"" Version",1990s,1998,Unknown,70,3.8,False,0.053,0.581,332,37.65,87.37,
4 Non Blondes,What's Up?,1990s,1992,Unknown,86,4.93,False,0.157,0.43,358,25.14,72.68,
Blackstreet,No Diggity,1990s,1996,new jack swing,79,5.08,False,0.129,0.46,839,31.35,165.27,
TLC,No Scrubs,1990s,1999,Unknown,82,3.57,False,0.306,0.47,643,14.62,179.94,
Radiohead,High and Dry,1990s,1995,"art rock, alternative rock",80,4.29,False,0.214,0.568,231,38.96,53.83,
Shaggy,Boombastic,1990s,1995,reggae,74,4.17,False,0.238,0.49,675,30.81,162.04,
Will Smith,"Men In Black - From ""Men In Black"" Soundtrack",1990s,1997,Unknown,67,3.79,False,-0.062,0.488,577,34.14,152.24,
Jamiroquai,Canned Heat,1990s,1999,acid jazz,71,5.53,False,-0.02,0.404,697,23.24,126.05,
The Offspring,The Kids Aren't Alright,1990s,1998,"punk, skate punk",83,3.0,False,0.053,0.49,191,53.4,63.61,
Inner Circle,Sweat (A La La La La Long),1990s,1992,"reggae, roots reggae",73,3.82,False,0.16,0.437,452,21.68,118.43,
Aerosmith,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",1990s,1998,"classic rock, rock",75,4.98,False,0.206,0.414,417,22.54,83.75,
Lou Bega,Mambo No. 5 (a Little Bit of...),1990s,1999,Unknown,78,3.67,False,-0.026,0.466,419,33.17,114.12,
Backstreet Boys,I Want It That Way,1990s,1999,Unknown,84,3.56,False,-0.152,0.43,297,21.89,83.54,
Bloodhound Gang,The Bad Touch,1990s,1999,Unknown,75,4.34,True,0.121,0.547,454,37.67,104.57,
Coolio,Gangsta's Paradise,1990s,1995,"west coast hip hop, g-funk",87,4.01,False,0.117,0.452,545,32.29,135.86,
The Smashing Pumpkins,1979 - Remastered 2012,1990s,1995,"alternative rock, rock",80,4.44,False,0.115,0.653,230,52.61,51.8,
Green Day,Basket Case,1990s,1994,"punk, pop punk",82,3.03,False,0.063,0.359,178,42.13,58.83,
Metallica,Nothing Else Matters - Remastered 2021,1990s,2021,"metal, thrash metal, rock, heavy metal, hard rock",83,6.48,False,0.168,0.615,228,28.51,35.19,
Destiny's Child,Say My Name,1990s,1999,Unknown,79,4.52,False,0.03,0.456,1012,15.81,223.78,
Red Hot Chili Peppers,Under the Bridge,1990s,1991,"funk rock, alternative rock, rock",85,4.41,False,0.203,0.605,285,35.09,64.7,
Eminem,My Name Is,1990s,1999,"rap, hip hop",73,4.47,True,-0.103,0.501,811,39.33,181.3,
Nirvana,Lithium,1990s,1991,"grunge, rock",74,4.28,False,0.225,0.597,352,19.32,82.16,
Britney Spears,Oops!...I Did It Again,2000s,2000,pop,83,3.52,False,0.128,0.478,386,26.68,109.68,
Nelly,Dilemma,2000s,2002,Unknown,82,4.82,True,0.062,0.625,923,18.96,191.52,
Madonna,Hung Up,2000s,2005,Unknown,79,5.63,False,-0.274,0.506,541,14.42,96.11,
Kelly Clarkson,Since U Been Gone,2000s,2004,christmas,75,3.15,False,0.157,0.37,293,28.33,93.04,
Mariah Carey,We Belong Together,2000s,2005,christmas,78,3.36,False,0.01,0.306,529,31.0,157.6,
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",2000s,2001,Unknown,67,4.41,False,0.278,0.546,486,39.3,110.2,
Shakira,La Tortura (feat. Alejandro Sanz),2000s,2005,latin pop,81,3.6,False,0.245,0.53,433,32.1,120.15,
Britney Spears,Stronger,2000s,2000,pop,68,3.38,False,0.038,0.623,257,31.13,75.96,
Black Eyed Peas,Meet Me Halfway,2000s,2009,Unknown,81,4.74,False,-0.061,0.529,512,21.29,108.03,
Avril Lavigne,Sk8er Boi,2000s,2002,Unknown,79,3.4,False,0.143,0.465,406,36.21,119.41,
Juanes,La Camisa Negra,2000s,2004,"latin pop, colombian pop, rock en español",57,3.61,False,0.0,0.0,347,33.43,96.07,
David Guetta,Sexy Bitch (feat. Akon),2000s,2010,edm,81,3.26,True,0.0,0.0,234,27.35,71.69,
Kanye West,Flashing Lights,2000s,2007,rap,87,3.96,True,0.124,0.626,359,44.29,90.69,
Katy Perry,Hot N Cold,2000s,2008,pop,78,3.67,False,-0.109,0.529,472,20.13,128.6,
Black Eyed Peas,I Gotta Feeling,2000s,2009,Unknown,83,4.82,False,0.497,0.556,695,15.54,144.22,
Kylie Minogue,Can't Get You out of My Head,2000s,2001,dance pop,81,3.84,False,0.355,0.705,259,19.69,67.38,
Britney Spears,Gimme More,2000s,2007,pop,85,4.19,True,0.386,0.497,522,22.61,124.66,
Rihanna,Don't Stop The Music,2000s,2008,Unknown,85,4.45,False,0.053,0.768,683,17.13,153.44,
MGMT,Kids,2000s,2007,indie,82,5.05,False,0.136,0.945,223,38.12,44.18,
Lady Gaga,Just Dance,2000s,2008,"art pop, pop",84,4.03,False,0.072,0.526,515,35.53,127.72,
Shakira,Hips Don't Lie (feat. Wyclef Jean),2000s,2005,latin pop,87,3.67,False,0.099,0.455,910,24.73,247.78,
Pitbull,I Know You Want Me (Calle Ocho),2000s,2009,Unknown,63,3.95,False,0.252,0.414,655,23.51,165.74,
Empire Of The Sun,Walking On A Dream,2000s,2008,Unknown,85,3.31,False,0.139,0.371,263,32.7,79.52,
Modjo,Lady - Hear Me Tonight,2000s,2001,"french house, disco house",82,5.12,False,0.342,0.523,246,19.11,48.05,
Lady Gaga,Paparazzi,2000s,2008,"art pop, pop",81,3.47,True,0.302,0.635,319,35.74,91.88,
Nelly Furtado,Say It Right,2000s,2006,Unknown,84,3.72,False,-0.034,0.636,295,30.85,79.34,
Flo Rida,Right Round,2000s,2009,Unknown,83,3.41,False,0.018,0.415,630,30.32,184.71,
t.A.T.u.,All The Things She Said,2000s,2002,Unknown,81,3.57,True,0.118,0.64,562,21.17,157.25,
Coldplay,Clocks,2000s,2002,Unknown,85,5.13,False,-0.119,0.163,171,44.44,33.32,
Katy Perry,I Kissed A Girl,2000s,2008,pop,76,2.99,False,0.201,0.65,283,33.57,94.52,
Nelly Furtado,Maneater,2000s,2006,Unknown,85,4.31,False,-0.009,0.554,600,17.33,139.05,
Black Eyed Peas,Pump It,2000s,2005,Unknown,82,3.55,True,0.05,0.539,528,30.68,148.69,
Natasha Bedingfield,Unwritten,2000s,2004,Unknown,86,4.32,False,-0.049,0.527,470,20.0,108.74,
Gwen Stefani,The Sweet Escape,2000s,2006,Unknown,76,4.11,False,0.174,0.667,543,22.65,132.19,
Maroon 5,This Love,2000s,2002,pop,87,3.44,False,0.333,0.535,351,31.62,102.13,
Estelle,American Boy,2000s,2008,Unknown,81,4.75,True,0.155,0.345,735,32.38,154.88,
Rihanna,Disturbia,2000s,2008,Unknown,82,3.98,False,0.283,0.72,573,23.56,144.07,
Daddy Yankee,Gasolina,2000s,2004,"reggaeton, latin",84,3.21,False,0.0,0.0,465,26.67,144.86,
JAY-Z,Empire State Of Mind,2000s,2009,"hip hop, east coast hip hop, rap",86,4.62,True,0.153,0.469,791,39.57,171.39,
Britney Spears,Womanizer,2000s,2008,pop,80,3.73,False,-0.097,0.656,600,19.5,160.69,
Avril Lavigne,Complicated,2000s,2002,Unknown,84,4.08,False,-0.233,0.54,516,21.51,126.62,
Rihanna,Rude Boy,2000s,2009,Unknown,79,3.72,True,0.127,0.525,627,14.67,168.76,
Stromae,Alors on danse - Radio Edit,2000s,2010,french pop,79,3.43,False,0.0,0.0,286,34.97,83.38,
Beyoncé,Crazy In Love (feat. JAY-Z),2000s,2003,Unknown,79,3.94,False,0.014,0.644,849,24.73,215.73,
Lady Gaga,Bad Romance,2000s,2009,"art pop, pop",86,4.91,True,-0.131,0.65,577,14.21,117.53,
Nelly Furtado,Promiscuous,2000s,2006,Unknown,88,4.04,False,-0.074,0.564,681,31.57,168.64,
Rihanna,Umbrella,2000s,2008,Unknown,84,4.6,False,0.175,0.461,547,27.97,118.92,
Sophie Ellis-Bextor,Murder On The Dancefloor,2000s,2002,Unknown,80,3.83,False,0.229,0.518,444,16.22,115.82,
Gorillaz,Feel Good Inc.,2000s,2005,Unknown,90,3.71,False,0.484,0.536,423,35.46,114.0,
Lady Gaga,Poker Face,2000s,2008,"art pop, pop",85,3.95,True,0.263,0.527,517,21.86,130.78,
Beyoncé,Beautiful Liar,2000s,2007,Unknown,70,3.33,False,0.26,0.521,357,32.77,107.18,
Maroon 5,She Will Be Loved - Radio Mix,2000s,2002,pop,85,4.32,False,0.241,0.548,375,32.53,86.72,
Michael Jackson,You Rock My World - Radio Edit,2000s,1979,Unknown,68,4.45,False,0.47,0.695,689,19.59,154.88,
Amy Winehouse,Back To Black,2000s,2006,Unknown,83,4.02,True,0.009,0.37,220,35.91,54.71,
Robbie Williams,Rock DJ,2000s,2000,Unknown,71,4.31,False,0.348,0.665,390,30.77,90.5,
Kanye West,Heartless,2000s,2008,rap,85,3.52,False,-0.121,0.707,484,31.61,137.63,
Keane,Everybody's Changing,2000s,2004,Unknown,79,3.6,False,0.027,0.46,202,32.18,56.14,
David Guetta,When Love Takes Over (feat. Kelly Rowland),2000s,2010,edm,75,3.18,False,0.404,0.606,251,33.07,78.85,
Britney Spears,Toxic,2000s,2003,pop,85,3.31,False,-0.115,0.545,326,24.23,98.39,
Rihanna,Pon de Replay,2000s,2005,Unknown,80,4.12,False,0.221,0.434,686,15.45,166.67,
Lily Allen,Smile,2000s,2006,Unknown,75,3.28,True,-0.005,0.366,449,21.38,136.83,
Kanye West,Stronger,2000s,2007,rap,83,5.2,True,0.185,0.439,958,19.0,184.31,
The Killers,Human,2000s,2008,alternative rock,76,4.09,False,0.048,0.407,263,36.5,64.31,
Peter Bjorn and John,Young Folks,2000s,2006,indie,78,4.61,False,0.179,0.648,322,28.57,69.82,
Hoobastank,The Reason,2000s,2024,nu metal,84,3.88,False,-0.057,0.67,243,29.63,62.63,
Keane,Somewhere Only We Know,2000s,2004,Unknown,87,3.95,False,-0.02,0.614,285,29.82,72.11,
Miley Cyrus,Party In The U.S.A.,2000s,2009,Unknown,81,3.37,False,0.38,0.593,516,26.16,153.22,
Outkast,Hey Ya!,2000s,2003,"southern hip hop, hip hop",83,3.92,True,0.231,0.566,495,29.29,126.27,
Coldplay,Yellow,2000s,2000,Unknown,91,4.45,False,0.243,0.421,213,28.17,47.91,
Black Eyed Peas,Where Is The Love?,2000s,2003,Unknown,82,4.54,False,0.164,0.592,689,35.85,151.69,
Amy Macdonald,This Is The Life,2000s,2007,Unknown,79,3.07,False,-0.058,0.491,459,18.95,149.34,
Guru Josh Project,Infinity 2008 - Klaas Vocal Edit,2000s,2008,Unknown,75,3.2,False,0.05,0.7,112,26.79,34.95,
50 Cent,21 Questions,2000s,2003,"east coast hip hop, old school hip hop",79,3.74,True,0.262,0.522,652,29.75,174.3,
Kesha,TiK ToK,2000s,2010,Unknown,85,3.33,False,-0.102,0.469,509,29.47,152.93,
Outkast,Ms. Jackson,2000s,2000,"southern hip hop, hip hop",83,4.51,True,-0.021,0.521,741,35.22,164.36,
Franz Ferdinand,Take Me Out,2000s,2004,indie rock,84,3.95,False,-0.267,0.5,264,19.32,66.83,
Justin Timberlake,Rock Your Body,2000s,2002,Unknown,83,4.45,False,0.188,0.462,662,20.85,148.62,
Green Day,Boulevard of Broken Dreams,2000s,2004,"punk, pop punk",73,4.35,True,-0.108,0.697,278,28.06,63.84,
Anastacia,Left Outside Alone,2000s,2004,Unknown,66,4.29,False,-0.018,0.28,398,25.13,92.76,
Foster The People,Pumped Up Kicks,2000s,2011,Unknown,85,3.99,False,0.254,0.457,389,24.42,97.41,
Yeah Yeah Yeahs,Heads Will Roll,2000s,2009,Unknown,70,3.68,False,-0.175,0.381,248,18.15,67.33,
Justin Timberlake,SexyBack (feat. Timbaland),2000s,2006,Unknown,86,4.05,True,0.0,0.0,454,22.03,112.22,
Taio Cruz,Break Your Heart,2000s,2010,Unknown,69,3.36,False,-0.101,0.86,388,18.04,115.51,
Alicia Keys,Fallin',2000s,2001,"r&b, neo soul",79,3.5,False,0.192,0.571,241,26.14,68.79,
Sean Kingston,Beautiful Girls,2000s,2007,Unknown,80,3.76,False,0.235,0.611,431,32.25,114.74,
Gnarls Barkley,Crazy,2000s,2007,Unknown,81,2.97,False,-0.218,0.704,226,46.9,76.21,
The Killers,Mr. Brightside,2000s,2004,alternative rock,89,3.72,False,-0.085,0.619,314,30.57,84.49,
Robbie Williams,Feel,2000s,2002,Unknown,77,4.4,False,0.15,0.591,259,34.75,58.89,
