Artist,Song,Decade,Year,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute,Problem_Type
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),2000s,2009,Unknown,77,3.16,False,0.0,0.0,498,27.11,157.52,
Gorillaz,Clint Eastwood,2000s,2001,Unknown,81,5.68,True,0.105,0.478,620,32.42,109.12,
Coldplay,Viva La Vida,2000s,2008,Unknown,87,4.04,False,0.12,0.47,341,41.35,84.42,
Florence + The Machine,Dog Days Are Over,2000s,2009,baroque pop,81,4.21,False,0.242,0.422,292,34.25,69.3,
Timbaland,The Way I Are,2000s,2007,Unknown,86,2.99,False,0.417,0.582,397,28.21,132.98,
Kings of Leon,Sex on Fire,2000s,2008,Unknown,84,3.39,False,0.377,0.631,145,49.66,42.78,
Avril Lavigne,Girlfriend,2000s,2007,Unknown,76,3.61,True,0.189,0.575,637,16.17,176.45,
Coldplay,The Scientist,2000s,2002,Unknown,89,5.16,False,0.103,0.504,193,43.52,37.4,
Sean Paul,Get Busy,2000s,2022,dancehall,78,3.53,False,0.317,0.458,743,17.77,210.61,
Red Hot Chili Peppers,Can't Stop,2000s,2002,"funk rock, alternative rock, rock",87,4.48,False,0.324,0.465,574,37.28,128.03,
Akon,Lonely,2000s,2006,Unknown,59,3.93,True,0.065,0.709,629,24.48,160.05,
Eminem,Without Me,2000s,2002,"rap, hip hop",88,4.84,True,-0.08,0.411,804,38.31,166.16,
Ariana Grande,One Last Time,2010s,2014,pop,86,3.29,False,0.123,0.335,425,21.88,129.27,
Rihanna,Where Have You Been,2010s,2011,Unknown,79,4.04,False,0.225,0.5,300,16.33,74.17,
Billie Eilish,ocean eyes,2010s,2017,Unknown,82,3.34,False,-0.073,0.585,223,43.05,66.77,
Drake,One Dance,2010s,2016,rap,89,2.9,False,0.11,0.306,474,28.06,163.46,
Adele,Rolling in the Deep,2010s,2011,soft pop,81,3.8,False,0.079,0.444,603,21.56,158.62,
Ariana Grande,7 rings,2010s,2019,pop,85,2.98,True,0.021,0.43,502,36.85,168.62,
Justin Bieber,Beauty And A Beat,2010s,2012,Unknown,79,3.8,False,0.16,0.418,359,36.77,94.48,
Alec Benjamin,Let Me Down Slowly,2010s,2018,Unknown,83,2.82,False,-0.185,0.372,430,21.4,152.34,
B.o.B,Airplanes (feat. Hayley Williams of Paramore),2010s,2010,Unknown,79,3.01,True,0.16,0.379,538,29.55,178.86,
benny blanco,Eastside (with Halsey & Khalid),2010s,2018,Unknown,73,2.9,False,0.134,0.402,498,30.52,171.72,
ROSALÍA,Con Altura,2010s,2019,latin,71,2.69,False,0.1,1.0,487,26.08,180.79,
Enrique Iglesias,Bailando - Spanish Version,2010s,2014,"latin pop, latin",78,4.05,False,0.128,0.534,700,31.29,172.9,
Carly Rae Jepsen,Run Away With Me,2010s,2015,Unknown,48,4.19,False,0.039,0.485,439,22.1,104.81,
Charli xcx,Boom Clap,2010s,2014,"hyperpop, art pop",67,2.83,False,0.502,0.523,402,21.89,141.99,
Pitbull,Give Me Everything (feat. Nayer),2010s,2011,Unknown,87,4.21,False,0.223,0.506,674,23.29,160.28,
Katy Perry,The One That Got Away,2010s,2010,pop,67,3.79,False,0.071,0.343,342,34.21,90.26,
Black Eyed Peas,The Time (Dirty Bit),2010s,2010,Unknown,52,5.13,False,0.077,0.548,540,30.56,105.32,
Drake,Passionfruit,2010s,2017,rap,86,4.98,True,0.028,0.523,246,43.5,49.37,
Icona Pop,I Love It (feat. Charli XCX),2010s,2013,Unknown,75,2.62,True,0.205,0.56,328,18.9,125.23,
Rihanna,Only Girl (In The World),2010s,2010,Unknown,74,3.92,False,0.097,0.824,429,19.35,109.3,
Capital Cities,Safe and Sound,2010s,2013,Unknown,83,3.21,False,0.412,0.437,307,19.22,95.54,
Maroon 5,Maps,2010s,2014,pop,85,3.17,False,-0.1,0.208,467,19.91,147.5,
Bruno Mars,Locked out of Heaven,2010s,2012,Unknown,89,3.89,False,0.044,0.415,324,27.47,83.26,
David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida),2010s,2012,edm,77,3.25,True,0.278,0.432,577,31.37,177.68,
Rihanna,We Found Love,2010s,2011,Unknown,79,3.59,False,0.412,0.548,218,27.98,60.77,
"Tyler, The Creator",See You Again (feat. Kali Uchis),2010s,2017,Unknown,89,3.01,True,0.192,0.529,483,27.74,160.66,
M83,Midnight City,2010s,2011,Unknown,79,4.07,False,-0.133,0.367,144,22.92,35.42,
Twenty One Pilots,Ride,2010s,2015,Unknown,84,3.58,False,0.144,0.28,446,24.44,124.75,
Calvin Harris,Feel So Close - Radio Edit,2010s,2012,edm,81,3.44,False,0.222,0.458,134,25.37,38.95,
Milky Chance,Stolen Dance,2010s,2013,Unknown,80,5.23,False,0.066,0.458,355,24.51,67.9,
WILLOW,Wait a Minute!,2010s,2015,Unknown,81,3.28,False,0.125,0.376,343,30.9,104.72,
Tame Impala,The Less I Know The Better,2010s,2015,"neo-psychedelic, indie",89,3.61,True,0.124,0.515,243,47.33,67.4,
Rihanna,S&M,2010s,2010,Unknown,73,4.06,True,0.294,0.583,506,17.0,124.66,
will.i.am,Scream & Shout,2010s,2013,Unknown,80,4.72,True,-0.004,0.463,552,18.84,116.87,
Coldplay,Adventure of a Lifetime,2010s,2015,Unknown,84,4.4,False,0.178,0.686,282,30.14,64.14,
Calvin Harris,Outside (feat. Ellie Goulding),2010s,2014,edm,86,3.79,False,0.0,0.0,241,34.02,63.63,
Lana Del Rey,Video Games,2010s,2012,Unknown,74,4.7,False,0.106,0.541,407,29.24,86.61,
Jack Ü,Where Are Ü Now (with Justin Bieber),2010s,2015,Unknown,77,4.17,False,0.099,0.496,253,30.43,60.67,
David Guetta,Without You (feat. Usher),2010s,2012,edm,78,3.47,False,-1.0,0.667,205,29.27,59.1,
Enrique Iglesias,DUELE EL CORAZON (feat. Wisin),2010s,2016,"latin pop, latin",68,3.33,False,0.5,0.6,344,30.23,103.36,
Ariana Grande,Into You,2010s,2016,pop,84,4.07,False,-0.055,0.502,516,21.51,126.65,
Miley Cyrus,We Can't Stop,2010s,2013,Unknown,80,3.85,False,0.342,0.595,614,19.71,159.32,
The 1975,Somebody Else,2010s,2016,Unknown,74,5.79,True,-0.108,0.668,530,19.06,91.5,
USHER,DJ Got Us Fallin' In Love (feat. Pitbull),2010s,2010,r&b,84,3.68,False,0.211,0.385,445,25.17,120.92,
Justin Bieber,What Do You Mean?,2010s,2015,Unknown,83,3.43,False,-0.029,0.569,494,19.23,144.11,
Drake,Hotline Bling,2010s,2016,rap,82,4.45,False,0.037,0.591,439,27.33,98.63,
Cardi B,I Like It,2010s,2018,Unknown,79,4.22,True,0.009,0.666,814,37.1,192.75,
Edward Maya,Stereo Love - Edit,2010s,2009,Unknown,69,3.07,False,0.279,0.536,274,35.04,89.34,
Katy Perry,Last Friday Night (T.G.I.F.),2010s,2012,pop,75,3.85,False,0.083,0.33,436,29.36,113.37,
Ariana Grande,Love Me Harder,2010s,2014,pop,84,3.94,False,0.208,0.329,478,20.92,121.46,
Lorde,Team,2010s,2013,Unknown,81,3.22,False,0.138,0.529,390,33.33,121.21,
Arctic Monkeys,Do I Wanna Know?,2010s,2013,"indie, garage rock",87,4.54,False,-0.049,0.365,423,34.52,93.17,
The Weeknd,Can't Feel My Face,2010s,2015,Unknown,84,3.56,False,0.292,0.611,550,12.73,154.55,
Rihanna,Love On The Brain,2010s,2016,Unknown,87,3.73,True,0.347,0.686,362,26.8,96.96,
Ariana Grande,Break Free,2010s,2014,pop,82,3.58,False,0.024,0.582,364,24.73,101.66,
Swedish House Mafia,Don't You Worry Child - Radio Edit,2010s,2012,edm,83,3.55,False,0.256,0.474,270,31.85,76.11,
Alexandra Stan,Mr. Saxobeat - Radio Edit,2010s,2011,europop,77,3.25,False,0.022,0.586,324,15.12,99.64,
Tove Lo,Habits (Stay High),2010s,2014,Unknown,77,3.49,False,-0.004,0.498,350,30.57,100.4,
BØRNS,Electric Love,2010s,2015,Unknown,80,3.64,False,0.435,0.585,205,32.68,56.39,
Disclosure,Latch,2010s,2013,house,83,4.26,False,0.167,0.498,365,22.19,85.67,
John Newman,Love Me Again,2010s,2013,Unknown,79,4.0,False,0.269,0.595,284,26.41,71.03,
Lorde,Supercut,2010s,2017,Unknown,79,4.63,False,0.017,0.563,404,23.02,87.35,
LMFAO,Party Rock Anthem,2010s,2011,Unknown,75,4.37,False,0.297,0.484,501,26.55,114.67,
Frank Ocean,Pink + White,2010s,2016,Unknown,86,3.08,False,0.067,0.368,332,48.19,107.96,
Pitbull,Time of Our Lives,2010s,2014,Unknown,85,3.82,True,0.132,0.506,675,26.96,176.58,
Travis Scott,goosebumps,2010s,2016,rap,85,4.06,True,0.041,0.57,581,32.01,142.96,
fun.,We Are Young (feat. Janelle Monáe),2010s,2012,Unknown,80,4.18,False,0.016,0.336,366,32.51,87.62,
B.o.B,Nothin' on You (feat. Bruno Mars),2010s,2010,Unknown,56,4.47,False,0.2,0.3,461,45.34,103.09,
Joji,SLOW DANCING IN THE DARK,2010s,2018,Unknown,87,3.49,True,-0.024,0.479,281,30.25,80.56,
Calvin Harris,Summer,2010s,2014,edm,82,3.71,False,0.323,0.477,123,29.27,33.16,
Justin Bieber,Boyfriend,2010s,2012,Unknown,63,2.86,False,0.314,0.656,436,28.67,152.69,
Vance Joy,Riptide,2010s,2014,folk pop,81,3.4,False,-0.073,0.499,394,28.17,115.72,
Deorro,Five More Hours,2010s,2015,"melbourne bounce, electro house",66,3.53,False,0.368,0.467,346,26.01,97.94,
French Montana,Unforgettable,2010s,2017,Unknown,86,3.9,True,0.093,0.549,560,30.36,143.65,
The Neighbourhood,Sweater Weather,2010s,2013,Unknown,92,4.01,False,-0.113,0.663,364,36.54,90.85,
Kygo,Stole the Show,2010s,2016,tropical house,75,3.72,False,-0.14,0.488,297,27.95,79.85,
Demi Lovato,Cool for the Summer,2010s,2015,Unknown,79,3.58,True,0.079,0.545,379,21.37,105.9,
Gotye,Somebody That I Used To Know,2010s,2011,Unknown,62,4.08,False,0.222,0.6,392,30.1,96.05,
Macklemore,Can't Hold Us (feat. Ray Dalton),2010s,2012,Unknown,79,4.31,False,0.051,0.361,780,29.87,181.16,
The Neighbourhood,Daddy Issues,2010s,2015,Unknown,86,4.34,False,-0.169,0.47,428,25.47,98.71,
Lana Del Rey,Born To Die,2010s,2012,Unknown,57,4.77,False,-0.117,0.497,562,22.06,117.8,
Katy Perry,California Gurls,2010s,2012,pop,75,3.91,False,0.313,0.586,444,40.09,113.53,
Zara Larsson,Lush Life,2010s,2017,Unknown,86,3.34,False,0.053,0.334,490,23.27,146.53,
Drake,"Hold On, We're Going Home",2010s,2013,rap,77,3.8,False,0.258,0.568,351,18.23,92.42,
Maroon 5,Payphone,2010s,2012,pop,86,3.85,True,-0.04,0.504,601,32.78,155.99,
R. City,Locked Away (feat. Adam Levine),2010s,2015,Unknown,83,3.79,False,0.227,0.48,658,19.76,173.56,
Nicki Minaj,Starships,2010s,2012,Unknown,79,3.51,True,0.306,0.551,415,30.84,118.22,
Childish Gambino,Redbone,2010s,2016,Unknown,83,5.45,True,0.008,0.495,303,30.69,55.61,
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,2010s,2016,Unknown,81,3.3,True,-0.275,0.726,350,32.29,106.1,
Cigarettes After Sex,Apocalypse,2010s,2017,dream pop,90,4.84,False,0.021,0.263,239,41.0,49.42,
Sean Paul,No Lie,2010s,2018,dancehall,85,3.69,False,0.088,0.395,767,19.95,208.07,
Doja Cat,Streets,2010s,2019,Unknown,84,3.78,True,-0.065,0.484,469,34.97,123.98,
Don Omar,Danza Kuduro,2010s,2010,"reggaeton, urbano latino",84,3.31,False,0.977,1.0,396,24.49,119.53,
Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2010s,2013,"french house, electronic, electro",80,4.13,False,0.347,0.701,566,13.25,137.14,
Katy Perry,Teenage Dream,2010s,2010,pop,69,3.8,False,0.021,0.256,413,27.85,108.81,
J Balvin,Mi Gente,2010s,2018,"reggaeton, latin",77,3.08,False,0.625,0.5,263,45.63,85.28,
Nicky Jam,X,2010s,2019,"reggaeton, latin",76,2.88,False,0.198,0.65,310,38.39,107.61,
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2010s,2010,pop,82,3.36,False,0.043,0.692,493,25.15,146.73,
Bad Bunny,DÁKITI,2020s,2020,"reggaeton, trap latino, urbano latino, latin",78,3.42,True,0.0,0.0,420,33.57,122.87,
KAROL G,Si Antes Te Hubiera Conocido,2020s,2024,"reggaeton, latin, urbano latino",84,3.26,False,0.0,0.0,319,35.42,97.74,
ROSALÍA,DESPECHÁ,2020s,2022,latin,73,2.61,True,-0.267,0.433,358,34.08,137.0,
FloyyMenor,Gata Only,2020s,2024,reggaeton chileno,78,3.7,True,0.0,1.0,431,37.35,116.49,
Kali Uchis,telepatía,2020s,2020,Unknown,83,2.67,False,0.162,0.504,281,38.79,105.25,
Bad Bunny,Tití Me Preguntó,2020s,2022,"reggaeton, trap latino, urbano latino, latin",84,4.06,True,-0.25,1.0,515,32.43,126.79,
Charli xcx,Guess featuring billie eilish,2020s,2024,"hyperpop, art pop",79,2.39,False,-0.033,0.555,381,35.43,159.49,
Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2020s,2021,"alté, afrobeats, afro r&b",76,3.41,True,0.0,0.0,347,54.18,101.68,
Artemas,i like the way you kiss me,2020s,2024,Unknown,76,2.38,False,0.234,0.541,419,18.62,176.4,
Tame Impala,Borderline,2020s,2020,"neo-psychedelic, indie",86,3.96,False,0.13,0.562,341,32.55,86.04,
The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",2020s,2023,Unknown,92,4.08,False,0.272,0.585,415,27.47,101.72,
Charli xcx,Apple,2020s,2024,"hyperpop, art pop",77,2.53,False,-0.107,0.583,323,28.17,127.72,
Djo,End of Beginning,2020s,2022,Unknown,91,2.65,False,0.147,0.23,200,36.5,75.36,
Chappell Roan,"Good Luck, Babe!",2020s,2024,Unknown,90,3.64,False,0.334,0.588,482,24.69,132.4,
Joji,Die For You,2020s,2022,Unknown,81,3.53,False,0.212,0.561,240,44.17,68.03,
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),2020s,2021,Unknown,79,3.18,False,0.138,0.336,282,34.4,88.68,
sombr,back to friends,2020s,2024,Unknown,92,3.32,False,-0.134,0.237,206,37.86,62.1,
Sabrina Carpenter,Manchild,2020s,2025,pop,86,3.56,True,-0.106,0.546,317,32.18,89.03,
Billie Eilish,Happier Than Ever,2020s,2021,Unknown,85,4.98,True,0.002,0.626,366,40.98,73.47,
Jungle,Back On 74,2020s,2023,Unknown,80,3.49,False,0.0,0.148,326,19.33,93.37,
Olivia Rodrigo,vampire,2020s,2023,Unknown,85,3.66,True,-0.088,0.666,409,36.67,111.69,
WizTheMc,Show Me Love,2020s,2025,Unknown,85,2.95,False,0.443,0.593,447,18.34,151.56,
Ariana Grande,we can't be friends (wait for your love),2020s,2024,pop,88,3.81,False,0.483,0.602,376,24.47,98.67,
Miley Cyrus,Angels Like You,2020s,2020,Unknown,81,3.27,False,0.152,0.582,336,30.06,102.62,
PinkPantheress,Boy's a liar Pt. 2,2020s,2023,bedroom pop,72,2.18,True,0.337,0.602,367,36.51,168.07,
Sabrina Carpenter,Feather,2020s,2023,pop,83,3.09,True,0.147,0.43,437,23.34,141.31,
Farruko,Pepas,2020s,2021,"reggaeton, trap latino",78,4.79,True,0.333,0.417,311,31.83,64.99,
Travis Scott,FE!N (feat. Playboi Carti),2020s,2023,rap,84,3.19,True,-0.085,0.577,606,29.87,189.67,
The Marías,No One Noticed,2020s,2024,bedroom pop,90,3.95,False,0.308,0.725,336,23.51,85.1,
Lola Young,Messy,2020s,2024,Unknown,84,4.73,True,-0.182,0.715,552,28.44,116.59,
Steve Lacy,Bad Habit,2020s,2022,Unknown,73,3.87,True,-0.078,0.583,433,29.56,111.93,
Olivia Rodrigo,deja vu,2020s,2021,Unknown,86,3.59,True,0.095,0.61,334,40.12,92.99,
RAYE,Escapism.,2020s,2023,Unknown,84,4.54,True,-0.083,0.369,753,32.27,165.88,
Tate McRae,greedy,2020s,2023,Unknown,67,2.16,True,-0.029,0.605,305,35.74,141.11,
Doja Cat,Kiss Me More (feat. SZA),2020s,2021,Unknown,85,3.48,True,0.0,0.0,469,41.15,134.86,
Ravyn Lenae,Love Me Not,2020s,2024,"alternative r&b, indie soul",89,3.56,False,0.009,0.5,535,22.43,150.38,
Sabrina Carpenter,Please Please Please,2020s,2024,pop,79,3.11,True,0.206,0.697,298,39.6,95.94,
Peggy Gou,(It Goes Like) Nanana - Edit,2020s,2023,Unknown,75,3.86,False,-0.4,0.7,208,13.46,53.9,
d4vd,Romantic Homicide,2020s,2022,Unknown,86,2.21,False,-0.205,0.414,103,61.17,46.6,
Doja Cat,Woman,2020s,2021,Unknown,84,2.88,True,0.215,0.562,450,38.44,156.41,
Joji,Glimpse of Us,2020s,2022,Unknown,84,3.89,False,0.182,0.645,313,32.59,80.44,
SZA,Kill Bill,2020s,2022,r&b,82,2.57,False,0.204,0.355,385,31.17,150.05,
JVKE,golden hour,2020s,2022,Unknown,80,3.49,False,0.09,0.48,203,50.25,58.21,
Taylor Swift,cardigan,2020s,2020,Unknown,85,3.99,False,0.128,0.421,350,38.0,87.66,
Harry Styles,As It Was,2020s,2022,Unknown,88,2.79,False,0.054,0.216,260,37.31,93.24,
Olivia Rodrigo,drivers license,2020s,2021,Unknown,86,4.03,True,0.098,0.508,390,34.36,96.69,
Billie Eilish,BIRDS OF A FEATHER,2020s,2024,Unknown,95,3.51,False,0.225,0.522,331,34.14,94.4,
Ayra Starr,Rush,2020s,2022,"afrobeats, afrobeat, afropop, afro r&b, afropiano, afro soul",69,3.08,False,-0.001,0.401,409,30.07,132.58,
d4vd,Here With Me,2020s,2023,Unknown,85,4.04,False,0.239,0.408,189,46.03,46.77,
bbno$,edamame,2020s,2021,Unknown,79,2.23,True,0.013,0.491,553,35.08,248.16,
Sabrina Carpenter,Nonsense,2020s,2023,pop,59,2.73,False,0.164,0.58,451,34.59,165.35,
Conan Gray,Heather,2020s,2020,Unknown,86,3.3,False,0.087,0.511,224,36.61,67.87,
Kendrick Lamar,luther (with sza),2020s,2024,"hip hop, west coast hip hop",85,2.96,False,0.222,0.502,432,34.26,145.95,
Måneskin,I WANNA BE YOUR SLAVE,2020s,2021,Unknown,83,2.89,True,-0.023,0.608,412,25.97,142.6,
Lady Gaga,Abracadabra,2020s,2025,"art pop, pop",81,3.72,False,0.033,0.374,277,35.74,74.4,
Olivia Rodrigo,good 4 u,2020s,2021,Unknown,82,2.97,True,0.389,0.544,434,28.34,146.17,
Kenya Grace,Strangers,2020s,2023,Unknown,76,2.88,False,-0.119,0.342,354,25.42,122.8,
Taylor Swift,august,2020s,2020,Unknown,85,4.37,False,-0.018,0.464,404,25.0,92.55,
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",2020s,2023,Unknown,85,3.71,False,0.113,0.697,179,35.2,48.25,
THE ANXIETY,Meet Me At Our Spot,2020s,2020,Unknown,74,2.71,True,-0.061,0.411,321,27.41,118.39,
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),2020s,2022,Unknown,82,3.69,True,0.218,0.393,476,32.35,129.0,
Sabrina Carpenter,Espresso,2020s,2024,pop,85,2.92,True,0.011,0.467,427,23.65,146.02,
Dove Cameron,Boyfriend,2020s,2022,Unknown,72,2.55,True,0.215,0.526,318,29.25,124.71,
Oliver Tree,Life Goes On,2020s,2021,Unknown,73,2.7,False,-0.062,0.583,329,23.4,122.0,
Dave,Sprinter,2020s,2023,"grime, uk grime, uk drill, drill",58,3.82,True,-0.05,0.476,844,44.08,221.01,
Taylor Swift,Fortnight (feat. Post Malone),2020s,2024,Unknown,82,3.82,False,-0.5,1.0,328,37.5,85.95,
Kendrick Lamar,Not Like Us,2020s,2024,"hip hop, west coast hip hop",87,4.57,True,0.025,0.459,924,40.15,202.19,
Benson Boone,Mystical Magical,2020s,2025,Unknown,83,2.76,False,0.245,0.591,314,34.71,113.67,
Doja Cat,Paint The Town Red,2020s,2023,Unknown,76,3.84,True,0.122,0.492,672,26.64,174.95,
Gigi Perez,Sailor Song,2020s,2025,Unknown,87,3.53,False,-0.144,0.669,332,37.65,93.97,
Stephen Sanchez,Until I Found You,2020s,2021,Unknown,79,2.96,False,0.5,0.6,178,26.97,60.09,
SZA,Good Days,2020s,2022,r&b,54,4.64,False,0.232,0.457,471,32.48,101.48,
Laufey,From The Start,2020s,2023,Unknown,87,2.83,False,0.171,0.646,213,47.89,75.37,
Gracie Abrams,That’s So True,2020s,2024,Unknown,90,2.77,True,-0.009,0.499,366,36.89,132.05,
KATSEYE,Gnarly,2020s,2025,k-pop,88,2.29,True,-0.237,0.73,257,31.13,112.3,
Tate McRae,you broke me first,2020s,2021,Unknown,85,2.84,True,0.012,0.383,349,31.23,123.01,
Lil Nas X,MONTERO (Call Me By Your Name),2020s,2021,Unknown,75,2.3,True,-0.015,0.574,405,36.79,176.47,
Teddy Swims,Lose Control,2020s,2023,Unknown,90,3.51,False,0.042,0.41,322,36.65,91.7,
Dua Lipa,Dance The Night - From Barbie The Album,2020s,2023,pop,80,2.94,False,0.292,0.409,424,25.71,144.22,
KATSEYE,Gabriela,2020s,2025,k-pop,94,3.29,False,0.069,0.174,326,29.75,99.18,
CKay,love nwantiti (ah ah ah),2020s,2019,"afrobeats, afrobeat, afro r&b, afropop",76,2.43,True,0.152,0.587,252,42.06,103.7,
BENEE,Supalonely,2020s,2019,Unknown,67,3.72,True,-0.216,0.65,430,27.21,115.45,
Camila Cabello,Bam Bam (feat. Ed Sheeran),2020s,2022,Unknown,72,3.43,False,-0.011,0.336,487,28.13,142.12,
Dua Lipa,Levitating (feat. DaBaby),2020s,2020,pop,82,3.38,False,0.0,0.0,493,36.71,145.67,
OneRepublic,I Ain't Worried,2020s,2022,soft pop,82,2.47,False,0.241,0.465,274,31.39,110.72,
Benson Boone,Beautiful Things,2020s,2024,Unknown,89,3.01,False,0.386,0.687,274,39.05,91.18,
Lizzy McAlpine,ceilings,2020s,2022,Unknown,81,3.05,False,0.304,0.601,212,44.34,69.55,
Adele,Oh My God,2020s,2021,soft pop,73,3.75,False,-0.048,0.423,581,19.45,154.83,
Mitski,My Love Mine All Mine,2020s,2023,Unknown,87,2.3,False,0.3,0.488,144,41.67,62.71,
Tyla,Water,2020s,2023,afrobeats,84,3.34,False,0.16,0.486,341,24.63,102.17,
David Kushner,Daylight,2020s,2024,Unknown,84,3.55,False,-0.056,0.461,348,28.74,98.05,
blackbear,hot girl bummer,2020s,2020,Unknown,74,3.14,True,-0.38,0.724,537,19.93,171.07,
Justin Bieber,Ghost,2020s,2021,Unknown,85,2.55,False,0.31,0.379,240,26.25,94.0,
Leon Thomas,MUTT,2020s,2024,Unknown,73,3.22,True,-0.075,0.379,338,26.63,104.9,
Alex Warren,Ordinary,2020s,2025,Unknown,91,3.12,False,-0.152,0.469,364,31.87,116.81,
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),2020s,2021,Unknown,75,3.54,True,0.004,0.385,658,33.89,185.92,
Shawn Mendes,Wonder,2020s,2020,Unknown,67,2.88,False,0.271,0.687,290,28.97,100.76,
Rosa Linn,SNAP,2020s,2022,Unknown,81,2.99,False,0.233,0.31,271,35.79,90.56,
Central Cee,Doja,2020s,2022,"uk drill, drill, uk grime",78,1.62,True,0.247,0.436,347,42.36,213.78,
The Weeknd,Blinding Lights,2020s,2020,Unknown,90,3.33,False,0.032,0.512,291,32.65,87.28,
