Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute
2000s,2007,Flashing Lights,Kanye West,rap,87,3.96,True,0.124,0.626,359,44.29,90.69
2000s,2008,Hot N Cold,Katy Perry,pop,78,3.67,False,-0.109,0.529,472,20.13,128.6
2000s,2009,I Gotta Feeling,Black Eyed Peas,,83,4.82,False,0.497,0.556,695,15.54,144.22
2000s,2001,Can't Get You out of My Head,Kylie Minogue,dance pop,81,3.84,False,0.355,0.705,259,19.69,67.38
2000s,2007,Gimme More,Britney Spears,pop,85,4.19,True,0.386,0.497,522,22.61,124.66
2000s,2008,Don't Stop The Music,Rihanna,,85,4.45,False,0.053,0.768,683,17.13,153.44
2000s,2007,Kids,MGMT,indie,82,5.05,False,0.136,0.945,223,38.12,44.18
2000s,2008,Just Dance,Lady Gaga,"art pop, pop",84,4.03,False,0.072,0.526,515,35.53,127.72
2000s,2005,Hips Don't Lie (feat. Wyclef Jean),Shakira,latin pop,87,3.67,False,0.099,0.455,910,24.73,247.78
2000s,2009,I Know You Want Me (Calle Ocho),Pitbull,,63,3.95,False,0.252,0.414,655,23.51,165.74
2000s,2008,Walking On A Dream,Empire Of The Sun,,85,3.31,False,0.139,0.371,263,32.7,79.52
2000s,2001,Lady - Hear Me Tonight,Modjo,"french house, disco house",82,5.12,False,0.342,0.523,246,19.11,48.05
2000s,2008,Paparazzi,Lady Gaga,"art pop, pop",81,3.47,True,0.302,0.635,319,35.74,91.88
2000s,2006,Say It Right,Nelly Furtado,,84,3.72,False,-0.034,0.636,295,30.85,79.34
2000s,2009,Right Round,Flo Rida,,83,3.41,False,0.018,0.415,630,30.32,184.71
2000s,2002,All The Things She Said,t.A.T.u.,,81,3.57,True,0.118,0.64,562,21.17,157.25
2000s,2002,Clocks,Coldplay,,85,5.13,False,-0.119,0.163,171,44.44,33.32
2000s,2008,I Kissed A Girl,Katy Perry,pop,76,2.99,False,0.201,0.65,283,33.57,94.52
2000s,2006,Maneater,Nelly Furtado,,85,4.31,False,-0.009,0.554,600,17.33,139.05
2000s,2005,Pump It,Black Eyed Peas,,82,3.55,True,0.05,0.539,528,30.68,148.69
2000s,2004,Unwritten,Natasha Bedingfield,,86,4.32,False,-0.049,0.527,470,20.0,108.74
2000s,2006,The Sweet Escape,Gwen Stefani,,76,4.11,False,0.174,0.667,543,22.65,132.19
2000s,2002,This Love,Maroon 5,pop,87,3.44,False,0.333,0.535,351,31.62,102.13
2000s,2008,American Boy,Estelle,,81,4.75,True,0.155,0.345,735,32.38,154.88
2000s,2008,Disturbia,Rihanna,,82,3.98,False,0.283,0.72,573,23.56,144.07
2000s,2004,Gasolina,Daddy Yankee,"reggaeton, latin",84,3.21,False,0.0,0.0,465,26.67,144.86
2000s,2009,Empire State Of Mind,JAY-Z,"hip hop, east coast hip hop, rap",86,4.62,True,0.153,0.469,791,39.57,171.39
2000s,2008,Womanizer,Britney Spears,pop,80,3.73,False,-0.097,0.656,600,19.5,160.69
2000s,2002,Complicated,Avril Lavigne,,84,4.08,False,-0.233,0.54,516,21.51,126.62
2000s,2009,Rude Boy,Rihanna,,79,3.72,True,0.127,0.525,627,14.67,168.76
2000s,2010,Alors on danse - Radio Edit,Stromae,french pop,79,3.43,False,0.0,0.0,0,0.0,0.0
2000s,2003,Crazy In Love (feat. JAY-Z),Beyoncé,,79,3.94,False,0.014,0.644,849,24.73,215.73
2000s,2009,Bad Romance,Lady Gaga,"art pop, pop",86,4.91,True,-0.131,0.65,577,14.21,117.53
2000s,2006,Promiscuous,Nelly Furtado,,88,4.04,False,-0.074,0.564,681,31.57,168.64
2000s,2008,Umbrella,Rihanna,,84,4.6,False,0.175,0.461,547,27.97,118.92
2000s,2002,Murder On The Dancefloor,Sophie Ellis-Bextor,,80,3.83,False,0.229,0.518,444,16.22,115.82
2000s,2005,Feel Good Inc.,Gorillaz,,90,3.71,False,0.484,0.536,423,35.46,114.0
2000s,2008,Poker Face,Lady Gaga,"art pop, pop",85,3.95,True,0.263,0.527,517,21.86,130.78
2000s,2007,Beautiful Liar,Beyoncé,,70,3.33,False,0.26,0.521,357,32.77,107.18
2000s,2002,She Will Be Loved - Radio Mix,Maroon 5,pop,85,4.32,False,0.241,0.548,375,32.53,86.72
2000s,1979,You Rock My World - Radio Edit,Michael Jackson,,68,4.45,False,0.47,0.695,689,19.59,154.88
2000s,2006,Back To Black,Amy Winehouse,,83,4.02,True,0.009,0.37,220,35.91,54.71
2000s,2000,Rock DJ,Robbie Williams,,71,4.31,False,0.348,0.665,390,30.77,90.5
2000s,2008,Heartless,Kanye West,rap,85,3.52,False,-0.121,0.707,484,31.61,137.63
2000s,2004,Everybody's Changing,Keane,,79,3.6,False,0.027,0.46,202,32.18,56.14
2000s,2010,When Love Takes Over (feat. Kelly Rowland),David Guetta,edm,75,3.18,False,0.404,0.606,251,33.07,78.85
2000s,2003,Toxic,Britney Spears,pop,85,3.31,False,-0.115,0.545,326,24.23,98.39
2000s,2005,Pon de Replay,Rihanna,,80,4.12,False,0.221,0.434,686,15.45,166.67
2000s,2006,Smile,Lily Allen,,75,3.28,True,-0.005,0.366,449,21.38,136.83
2000s,2007,Stronger,Kanye West,rap,83,5.2,True,0.185,0.439,958,19.0,184.31
2000s,2008,Human,The Killers,alternative rock,76,4.09,False,0.048,0.407,263,36.5,64.31
2000s,2006,Young Folks,Peter Bjorn and John,indie,78,4.61,False,0.179,0.648,322,28.57,69.82
2000s,2024,The Reason,Hoobastank,nu metal,84,3.88,False,-0.057,0.67,243,29.63,62.63
2000s,2004,Somewhere Only We Know,Keane,,87,3.95,False,-0.02,0.614,285,29.82,72.11
2000s,2009,Party In The U.S.A.,Miley Cyrus,,81,3.37,False,0.38,0.593,516,26.16,153.22
2000s,2003,Hey Ya!,Outkast,"southern hip hop, hip hop",83,3.92,True,0.231,0.566,495,29.29,126.27
2000s,2000,Yellow,Coldplay,,91,4.45,False,0.243,0.421,213,28.17,47.91
2000s,2003,Where Is The Love?,Black Eyed Peas,,82,4.54,False,0.164,0.592,689,35.85,151.69
2000s,2007,This Is The Life,Amy Macdonald,,79,3.07,False,-0.058,0.491,459,18.95,149.34
2000s,2008,Infinity 2008 - Klaas Vocal Edit,Guru Josh Project,,75,3.2,False,0.05,0.7,112,26.79,34.95
2000s,2003,21 Questions,50 Cent,"east coast hip hop, old school hip hop",79,3.74,True,0.262,0.522,652,29.75,174.3
2000s,2010,TiK ToK,Kesha,,85,3.33,False,-0.102,0.469,509,29.47,152.93
2000s,2000,Ms. Jackson,Outkast,"southern hip hop, hip hop",83,4.51,True,-0.021,0.521,741,35.22,164.36
2000s,2004,Take Me Out,Franz Ferdinand,indie rock,84,3.95,False,-0.267,0.5,264,19.32,66.83
2000s,2002,Rock Your Body,Justin Timberlake,,83,4.45,False,0.188,0.462,662,20.85,148.62
2000s,2004,Boulevard of Broken Dreams,Green Day,"punk, pop punk",73,4.35,True,-0.108,0.697,278,28.06,63.84
2000s,2004,Left Outside Alone,Anastacia,,66,4.29,False,-0.018,0.28,398,25.13,92.76
2000s,2011,Pumped Up Kicks,Foster The People,,85,3.99,False,0.254,0.457,389,24.42,97.41
2000s,2009,Heads Will Roll,Yeah Yeah Yeahs,,70,3.68,False,-0.175,0.381,248,18.15,67.33
2000s,2006,SexyBack (feat. Timbaland),Justin Timberlake,,86,4.05,True,0.0,0.0,454,22.03,112.22
2000s,2010,Break Your Heart,Taio Cruz,,69,3.36,False,-0.101,0.86,388,18.04,115.51
2000s,2001,Fallin',Alicia Keys,"r&b, neo soul",79,3.5,False,0.192,0.571,241,26.14,68.79
2000s,2007,Beautiful Girls,Sean Kingston,,80,3.76,False,0.235,0.611,431,32.25,114.74
2000s,2007,Crazy,Gnarls Barkley,,81,2.97,False,-0.218,0.704,226,46.9,76.21
2000s,2004,Mr. Brightside,The Killers,alternative rock,89,3.72,False,-0.085,0.619,314,30.57,84.49
2000s,2002,Feel,Robbie Williams,,77,4.4,False,0.15,0.591,259,34.75,58.89
2000s,2009,4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,,77,3.16,False,0.0,0.0,498,27.11,157.52
2000s,2001,Clint Eastwood,Gorillaz,,81,5.68,True,0.105,0.478,620,32.42,109.12
2000s,2008,Viva La Vida,Coldplay,,87,4.04,False,0.12,0.47,341,41.35,84.42
2000s,2009,Dog Days Are Over,Florence + The Machine,baroque pop,81,4.21,False,0.242,0.422,292,34.25,69.3
2000s,2007,The Way I Are,Timbaland,,86,2.99,False,0.417,0.582,397,28.21,132.98
2000s,2008,Sex on Fire,Kings of Leon,,84,3.39,False,0.377,0.631,145,49.66,42.78
2000s,2007,Girlfriend,Avril Lavigne,,76,3.61,True,0.189,0.575,637,16.17,176.45
2000s,2002,The Scientist,Coldplay,,89,5.16,False,0.103,0.504,193,43.52,37.4
2000s,2022,Get Busy,Sean Paul,dancehall,78,3.53,False,0.317,0.458,743,17.77,210.61
2000s,2002,Can't Stop,Red Hot Chili Peppers,"funk rock, alternative rock, rock",87,4.48,False,0.324,0.465,574,37.28,128.03
2000s,2006,Lonely,Akon,,59,3.93,True,0.065,0.709,629,24.48,160.05
2000s,2002,Without Me,Eminem,"rap, hip hop",88,4.84,True,-0.08,0.411,804,38.31,166.16
2010s,2014,One Last Time,Ariana Grande,pop,86,3.29,False,0.123,0.335,425,21.88,129.27
2010s,2011,Where Have You Been,Rihanna,,79,4.04,False,0.225,0.5,300,16.33,74.17
2010s,2017,ocean eyes,Billie Eilish,,82,3.34,False,-0.073,0.585,223,43.05,66.77
2010s,2016,One Dance,Drake,rap,89,2.9,False,0.11,0.306,474,28.06,163.46
2010s,2011,Rolling in the Deep,Adele,soft pop,81,3.8,False,0.079,0.444,603,21.56,158.62
2010s,2019,7 rings,Ariana Grande,pop,85,2.98,True,0.021,0.43,502,36.85,168.62
2010s,2012,Beauty And A Beat,Justin Bieber,,79,3.8,False,0.16,0.418,359,36.77,94.48
2010s,2018,Let Me Down Slowly,Alec Benjamin,,83,2.82,False,-0.185,0.372,430,21.4,152.34
2010s,2010,Airplanes (feat. Hayley Williams of Paramore),B.o.B,,79,3.01,True,0.16,0.379,538,29.55,178.86
2010s,2018,Eastside (with Halsey & Khalid),benny blanco,,73,2.9,False,0.0,0.0,0,0.0,0.0
2010s,2019,Con Altura,ROSALÍA,latin,71,2.69,False,0.1,1.0,487,26.08,180.79
2010s,2024,King,Olly Alexander (Years & Years),,49,3.59,False,0.0,0.0,0,0.0,0.0
2010s,2014,Bailando - Spanish Version,Enrique Iglesias,"latin pop, latin",78,4.05,False,0.128,0.534,700,31.29,172.9
2010s,2015,Run Away With Me,Carly Rae Jepsen,,48,4.19,False,0.039,0.485,439,22.1,104.81
2010s,2014,Boom Clap,Charli xcx,"hyperpop, art pop",67,2.83,False,0.502,0.523,402,21.89,141.99
2010s,2011,Give Me Everything (feat. Nayer),Pitbull,,87,4.21,False,0.223,0.506,674,23.29,160.28
2010s,2010,The One That Got Away,Katy Perry,pop,67,3.79,False,0.071,0.343,342,34.21,90.26
2010s,2010,The Time (Dirty Bit),Black Eyed Peas,,52,5.13,False,0.077,0.548,540,30.56,105.32
2010s,2017,Passionfruit,Drake,rap,86,4.98,True,0.028,0.523,246,43.5,49.37
2010s,2013,I Love It (feat. Charli XCX),Icona Pop,,75,2.62,True,0.205,0.56,328,18.9,125.23
2010s,2010,Only Girl (In The World),Rihanna,,74,3.92,False,0.097,0.824,429,19.35,109.3
2010s,2013,Safe and Sound,Capital Cities,,83,3.21,False,0.412,0.437,307,19.22,95.54
2010s,2014,Maps,Maroon 5,pop,85,3.17,False,-0.1,0.208,467,19.91,147.5
2010s,2012,Locked out of Heaven,Bruno Mars,,89,3.89,False,0.044,0.415,324,27.47,83.26
2010s,2012,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,edm,77,3.25,True,0.278,0.432,577,31.37,177.68
2010s,2011,We Found Love,Rihanna,,79,3.59,False,0.412,0.548,218,27.98,60.77
2010s,2017,See You Again (feat. Kali Uchis),"Tyler, The Creator",,89,3.01,True,0.192,0.529,483,27.74,160.66
2010s,2011,Midnight City,M83,,79,4.07,False,-0.133,0.367,144,22.92,35.42
2010s,2015,Ride,Twenty One Pilots,,84,3.58,False,0.144,0.28,446,24.44,124.75
2010s,2012,Feel So Close - Radio Edit,Calvin Harris,edm,81,3.44,False,0.0,0.0,0,0.0,0.0
2010s,2013,Stolen Dance,Milky Chance,,80,5.23,False,0.066,0.458,355,24.51,67.9
2010s,2015,Wait a Minute!,WILLOW,,81,3.28,False,0.125,0.376,343,30.9,104.72
2010s,2015,The Less I Know The Better,Tame Impala,"neo-psychedelic, indie",89,3.61,True,0.124,0.515,243,47.33,67.4
2010s,2010,S&M,Rihanna,,73,4.06,True,0.294,0.583,506,17.0,124.66
2010s,2013,Scream & Shout,will.i.am,,80,4.72,True,-0.004,0.463,552,18.84,116.87
2010s,2015,Adventure of a Lifetime,Coldplay,,84,4.4,False,0.178,0.686,282,30.14,64.14
2010s,2014,Outside (feat. Ellie Goulding),Calvin Harris,edm,86,3.79,False,0.0,0.0,241,34.02,63.63
2010s,2012,Video Games,Lana Del Rey,,74,4.7,False,0.106,0.541,407,29.24,86.61
2010s,2015,Where Are Ü Now (with Justin Bieber),Jack Ü,,77,4.17,False,0.0,0.0,0,0.0,0.0
2010s,2012,Without You (feat. Usher),David Guetta,edm,78,3.47,False,-1.0,0.667,205,29.27,59.1
2010s,2016,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,"latin pop, latin",68,3.33,False,0.5,0.6,344,30.23,103.36
2010s,2016,Into You,Ariana Grande,pop,84,4.07,False,-0.055,0.502,516,21.51,126.65
2010s,2013,We Can't Stop,Miley Cyrus,,80,3.85,False,0.342,0.595,614,19.71,159.32
2010s,2016,Somebody Else,The 1975,,74,5.79,True,-0.108,0.668,530,19.06,91.5
2010s,2010,DJ Got Us Fallin' In Love (feat. Pitbull),USHER,r&b,84,3.68,False,0.211,0.385,445,25.17,120.92
2010s,2015,What Do You Mean?,Justin Bieber,,83,3.43,False,-0.029,0.569,494,19.23,144.11
2010s,2016,Hotline Bling,Drake,rap,82,4.45,False,0.037,0.591,439,27.33,98.63
2010s,2018,I Like It,Cardi B,,79,4.22,True,0.009,0.666,814,37.1,192.75
2010s,2009,Stereo Love - Edit,Edward Maya,,69,3.07,False,0.279,0.536,274,35.04,89.34
2010s,2012,Last Friday Night (T.G.I.F.),Katy Perry,pop,75,3.85,False,0.083,0.33,436,29.36,113.37
2010s,2014,Love Me Harder,Ariana Grande,pop,84,3.94,False,0.208,0.329,478,20.92,121.46
2010s,2013,Team,Lorde,,81,3.22,False,0.138,0.529,390,33.33,121.21
2010s,2013,Do I Wanna Know?,Arctic Monkeys,"indie, garage rock",87,4.54,False,-0.049,0.365,423,34.52,93.17
2010s,2015,Can't Feel My Face,The Weeknd,,84,3.56,False,0.292,0.611,550,12.73,154.55
2010s,2016,Love On The Brain,Rihanna,,87,3.73,True,0.347,0.686,362,26.8,96.96
2010s,2014,Break Free,Ariana Grande,pop,82,3.58,False,0.024,0.582,364,24.73,101.66
2010s,2012,Don't You Worry Child - Radio Edit,Swedish House Mafia,edm,83,3.55,False,0.256,0.474,270,31.85,76.11
2010s,2011,Mr. Saxobeat - Radio Edit,Alexandra Stan,europop,77,3.25,False,0.022,0.586,324,15.12,99.64
2010s,2014,Habits (Stay High),Tove Lo,,77,3.49,False,-0.004,0.498,350,30.57,100.4
2010s,2015,Electric Love,BØRNS,,80,3.64,False,0.435,0.585,205,32.68,56.39
2010s,2013,Latch,Disclosure,house,83,4.26,False,0.167,0.498,365,22.19,85.67
2010s,2013,Love Me Again,John Newman,,79,4.0,False,0.269,0.595,284,26.41,71.03
2010s,2009,Bad Romance,Lady Gaga,"art pop, pop",86,4.91,True,-0.131,0.65,577,14.21,117.53
2010s,2017,Supercut,Lorde,,79,4.63,False,0.017,0.563,404,23.02,87.35
2010s,2011,Party Rock Anthem,LMFAO,,75,4.37,False,0.297,0.484,501,26.55,114.67
2010s,2016,Pink + White,Frank Ocean,,86,3.08,False,0.067,0.368,332,48.19,107.96
2010s,2014,Time of Our Lives,Pitbull,,85,3.82,True,0.132,0.506,675,26.96,176.58
2010s,2016,goosebumps,Travis Scott,rap,85,4.06,True,0.041,0.57,581,32.01,142.96
2010s,2012,We Are Young (feat. Janelle Monáe),fun.,,80,4.18,False,0.016,0.336,366,32.51,87.62
2010s,2010,Nothin' on You (feat. Bruno Mars),B.o.B,,56,4.47,False,0.2,0.3,461,45.34,103.09
2010s,2018,SLOW DANCING IN THE DARK,Joji,,87,3.49,True,-0.024,0.479,281,30.25,80.56
2010s,2014,Summer,Calvin Harris,edm,82,3.71,False,0.323,0.477,123,29.27,33.16
2010s,2012,Boyfriend,Justin Bieber,,63,2.86,False,0.314,0.656,436,28.67,152.69
2010s,2014,Riptide,Vance Joy,folk pop,81,3.4,False,-0.073,0.499,394,28.17,115.72
2010s,2015,Five More Hours,Deorro,"melbourne bounce, electro house",66,3.53,False,0.368,0.467,346,26.01,97.94
2010s,2017,Unforgettable,French Montana,,86,3.9,True,0.093,0.549,560,30.36,143.65
2010s,2013,Sweater Weather,The Neighbourhood,,92,4.01,False,-0.113,0.663,364,36.54,90.85
2010s,2016,Stole the Show,Kygo,tropical house,75,3.72,False,-0.14,0.488,297,27.95,79.85
2010s,2015,Cool for the Summer,Demi Lovato,,79,3.58,True,0.079,0.545,379,21.37,105.9
2010s,2011,Somebody That I Used To Know,Gotye,,62,4.08,False,0.222,0.6,392,30.1,96.05
2010s,2012,Can't Hold Us (feat. Ray Dalton),Macklemore,,79,4.31,False,0.051,0.361,780,29.87,181.16
2010s,2015,Daddy Issues,The Neighbourhood,,86,4.34,False,-0.169,0.47,428,25.47,98.71
2010s,2012,Born To Die,Lana Del Rey,,57,4.77,False,-0.117,0.497,562,22.06,117.8
2010s,2012,California Gurls,Katy Perry,pop,75,3.91,False,0.313,0.586,444,40.09,113.53
2010s,2017,Lush Life,Zara Larsson,,86,3.34,False,0.053,0.334,490,23.27,146.53
2010s,2013,"Hold On, We're Going Home",Drake,rap,77,3.8,False,0.258,0.568,351,18.23,92.42
2010s,2012,Payphone,Maroon 5,pop,86,3.85,True,-0.04,0.504,601,32.78,155.99
2010s,2015,Locked Away (feat. Adam Levine),R. City,,83,3.79,False,0.227,0.48,658,19.76,173.56
2010s,2012,Starships,Nicki Minaj,,79,3.51,True,0.306,0.551,415,30.84,118.22
2010s,2016,Redbone,Childish Gambino,,83,5.45,True,0.008,0.495,303,30.69,55.61
2010s,2016,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,,81,3.3,True,-0.275,0.726,350,32.29,106.1
2010s,2017,Apocalypse,Cigarettes After Sex,dream pop,90,4.84,False,0.021,0.263,239,41.0,49.42
2010s,2018,No Lie,Sean Paul,dancehall,85,3.69,False,0.088,0.395,767,19.95,208.07
2010s,2019,Streets,Doja Cat,,84,3.78,True,-0.065,0.484,469,34.97,123.98
2010s,2010,Danza Kuduro,Don Omar,"reggaeton, urbano latino",84,3.31,False,0.977,1.0,396,24.49,119.53
2010s,2013,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,"french house, electronic, electro",80,4.13,False,0.347,0.701,566,13.25,137.14
2010s,2010,Teenage Dream,Katy Perry,pop,69,3.8,False,0.021,0.256,413,27.85,108.81
2010s,2018,Mi Gente,J Balvin,"reggaeton, latin",77,3.08,False,0.625,0.5,263,45.63,85.28
2010s,2019,X,Nicky Jam,"reggaeton, latin",76,2.88,False,0.198,0.65,310,38.39,107.61
2010s,2010,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,pop,82,3.36,False,0.0,0.0,0,0.0,0.0
2020s,2020,DÁKITI,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",78,3.42,True,0.0,0.0,420,33.57,122.87
2020s,2024,Si Antes Te Hubiera Conocido,KAROL G,"reggaeton, latin, urbano latino",84,3.26,False,0.0,0.0,319,35.42,97.74
2020s,2022,DESPECHÁ,ROSALÍA,latin,73,2.61,True,-0.267,0.433,358,34.08,137.0
2020s,2024,Gata Only,FloyyMenor,reggaeton chileno,78,3.7,True,0.0,1.0,431,37.35,116.49
2020s,2020,telepatía,Kali Uchis,,83,2.67,False,0.162,0.504,281,38.79,105.25
2020s,2022,Tití Me Preguntó,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",84,4.06,True,-0.25,1.0,515,32.43,126.79
2020s,2024,Guess featuring billie eilish,Charli xcx,"hyperpop, art pop",79,2.39,False,-0.033,0.555,381,35.43,159.49
2020s,2021,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,"alté, afrobeats, afro r&b",76,3.41,True,0.0,0.0,347,54.18,101.68
2020s,2024,i like the way you kiss me,Artemas,,76,2.38,False,0.234,0.541,419,18.62,176.4
2020s,2020,Borderline,Tame Impala,"neo-psychedelic, indie",86,3.96,False,0.13,0.562,341,32.55,86.04
2020s,2023,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,,92,4.08,False,0.0,0.0,0,0.0,0.0
2020s,2024,Apple,Charli xcx,"hyperpop, art pop",77,2.53,False,-0.107,0.583,323,28.17,127.72
2020s,2022,End of Beginning,Djo,,91,2.65,False,0.147,0.23,200,36.5,75.36
2020s,2024,"Good Luck, Babe!",Chappell Roan,,90,3.64,False,0.334,0.588,482,24.69,132.4
2020s,2022,Die For You,Joji,,81,3.53,False,0.212,0.561,240,44.17,68.03
2020s,2021,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,,79,3.18,False,0.0,0.0,0,0.0,0.0
2020s,2024,back to friends,sombr,,92,3.32,False,-0.134,0.237,206,37.86,62.1
2020s,2025,Manchild,Sabrina Carpenter,pop,86,3.56,True,-0.106,0.546,317,32.18,89.03
2020s,2021,Happier Than Ever,Billie Eilish,,85,4.98,True,0.002,0.626,366,40.98,73.47
2020s,2023,Back On 74,Jungle,,80,3.49,False,0.0,0.148,326,19.33,93.37
2020s,2023,vampire,Olivia Rodrigo,,85,3.66,True,-0.088,0.666,409,36.67,111.69
2020s,2025,Show Me Love,WizTheMc,,85,2.95,False,0.443,0.593,447,18.34,151.56
2020s,2024,we can't be friends (wait for your love),Ariana Grande,pop,88,3.81,False,0.483,0.602,376,24.47,98.67
2020s,2020,Angels Like You,Miley Cyrus,,81,3.27,False,0.152,0.582,336,30.06,102.62
2020s,2023,Boy's a liar Pt. 2,PinkPantheress,bedroom pop,72,2.18,True,0.337,0.602,367,36.51,168.07
2020s,2023,Feather,Sabrina Carpenter,pop,83,3.09,True,0.147,0.43,437,23.34,141.31
2020s,2021,Pepas,Farruko,"reggaeton, trap latino",78,4.79,True,0.333,0.417,311,31.83,64.99
2020s,2023,FE!N (feat. Playboi Carti),Travis Scott,rap,84,3.19,True,-0.085,0.577,606,29.87,189.67
2020s,2024,No One Noticed,The Marías,bedroom pop,90,3.95,False,0.308,0.725,336,23.51,85.1
2020s,2024,Messy,Lola Young,,84,4.73,True,-0.182,0.715,552,28.44,116.59
2020s,2022,Bad Habit,Steve Lacy,,73,3.87,True,-0.078,0.583,433,29.56,111.93
2020s,2021,deja vu,Olivia Rodrigo,,86,3.59,True,0.095,0.61,334,40.12,92.99
2020s,2023,Escapism.,RAYE,,84,4.54,True,-0.083,0.369,753,32.27,165.88
2020s,2023,greedy,Tate McRae,,67,2.16,True,-0.029,0.605,305,35.74,141.11
2020s,2021,Kiss Me More (feat. SZA),Doja Cat,,85,3.48,True,0.0,0.0,469,41.15,134.86
2020s,2024,Love Me Not,Ravyn Lenae,"alternative r&b, indie soul",89,3.56,False,0.009,0.5,535,22.43,150.38
2020s,2024,Please Please Please,Sabrina Carpenter,pop,79,3.11,True,0.206,0.697,298,39.6,95.94
2020s,2023,(It Goes Like) Nanana - Edit,Peggy Gou,,75,3.86,False,-0.4,0.7,208,13.46,53.9
2020s,2022,Romantic Homicide,d4vd,,86,2.21,False,-0.205,0.414,103,61.17,46.6
2020s,2021,Woman,Doja Cat,,84,2.88,True,0.215,0.562,450,38.44,156.41
2020s,2022,Glimpse of Us,Joji,,84,3.89,False,0.182,0.645,313,32.59,80.44
2020s,2022,Kill Bill,SZA,r&b,82,2.57,False,0.204,0.355,385,31.17,150.05
2020s,2022,golden hour,JVKE,,80,3.49,False,0.09,0.48,203,50.25,58.21
2020s,2020,cardigan,Taylor Swift,,85,3.99,False,0.128,0.421,350,38.0,87.66
2020s,2022,As It Was,Harry Styles,,88,2.79,False,0.054,0.216,260,37.31,93.24
2020s,2021,drivers license,Olivia Rodrigo,,86,4.03,True,0.098,0.508,390,34.36,96.69
2020s,2024,BIRDS OF A FEATHER,Billie Eilish,,95,3.51,False,0.225,0.522,331,34.14,94.4
2020s,2022,Rush,Ayra Starr,"afrobeats, afrobeat, afropop, afro r&b, afropiano, afro soul",69,3.08,False,-0.001,0.401,409,30.07,132.58
2020s,2023,Here With Me,d4vd,,85,4.04,False,0.239,0.408,189,46.03,46.77
2020s,2021,edamame,bbno$,,79,2.23,True,0.013,0.491,553,35.08,248.16
2020s,2023,Nonsense,Sabrina Carpenter,pop,59,2.73,False,0.164,0.58,451,34.59,165.35
2020s,2020,Heather,Conan Gray,,86,3.3,False,0.087,0.511,224,36.61,67.87
2020s,2024,luther (with sza),Kendrick Lamar,"hip hop, west coast hip hop",85,2.96,False,0.0,0.0,0,0.0,0.0
2020s,2021,I WANNA BE YOUR SLAVE,Måneskin,,83,2.89,True,-0.023,0.608,412,25.97,142.6
2020s,2025,Abracadabra,Lady Gaga,"art pop, pop",81,3.72,False,0.033,0.374,277,35.74,74.4
2020s,2021,good 4 u,Olivia Rodrigo,,82,2.97,True,0.389,0.544,434,28.34,146.17
2020s,2023,Strangers,Kenya Grace,,76,2.88,False,-0.119,0.342,354,25.42,122.8
2020s,2020,august,Taylor Swift,,85,4.37,False,-0.018,0.464,404,25.0,92.55
2020s,2023,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,,85,3.71,False,0.0,0.0,0,0.0,0.0
2020s,2020,Meet Me At Our Spot,THE ANXIETY,,74,2.71,True,-0.061,0.411,321,27.41,118.39
2020s,2022,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,,82,3.69,True,0.0,0.0,0,0.0,0.0
2020s,2024,Espresso,Sabrina Carpenter,pop,85,2.92,True,0.011,0.467,427,23.65,146.02
2020s,2022,Boyfriend,Dove Cameron,,72,2.55,True,0.215,0.526,318,29.25,124.71
2020s,2021,Life Goes On,Oliver Tree,,73,2.7,False,-0.062,0.583,329,23.4,122.0
2020s,2023,Sprinter,Dave,"grime, uk grime, uk drill, drill",58,3.82,True,-0.05,0.476,844,44.08,221.01
2020s,2024,Fortnight (feat. Post Malone),Taylor Swift,,82,3.82,False,-0.5,1.0,328,37.5,85.95
2020s,2024,Not Like Us,Kendrick Lamar,"hip hop, west coast hip hop",87,4.57,True,0.025,0.459,924,40.15,202.19
2020s,2025,Mystical Magical,Benson Boone,,83,2.76,False,0.245,0.591,314,34.71,113.67
2020s,2023,Paint The Town Red,Doja Cat,,76,3.84,True,0.122,0.492,672,26.64,174.95
2020s,2025,Sailor Song,Gigi Perez,,87,3.53,False,-0.144,0.669,332,37.65,93.97
2020s,2021,Until I Found You,Stephen Sanchez,,79,2.96,False,0.5,0.6,178,26.97,60.09
2020s,2022,Good Days,SZA,r&b,54,4.64,False,0.232,0.457,471,32.48,101.48
2020s,2023,From The Start,Laufey,,87,2.83,False,0.171,0.646,213,47.89,75.37
2020s,2024,That’s So True,Gracie Abrams,,90,2.77,True,-0.009,0.499,366,36.89,132.05
