Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute
1980s,2001,Eyes Without A Face - Remastered 1999,Billy Idol,,64,4.96,False,0.0,0.0,0,0.0,0.0
1980s,1989,Pump Up The Jam,Technotronic,"eurodance, hip house, dance",73,5.34,False,0.156,0.5,586,8.7,109.77
1980s,1986,Don't Dream It's Over,Crowded House,,76,3.97,False,0.494,0.412,269,35.32,67.77
1980s,1982,Should I Stay or Should I Go - Remastered,The Clash,punk,81,3.15,False,0.0,0.0,0,0.0,0.0
1980s,2004,Call Me,Blondie,,76,3.54,False,0.362,0.602,418,24.4,118.18
1980s,1979,Rock with You - Single Version,Michael Jackson,,82,3.67,False,0.233,0.578,279,29.03,76.12
1980s,1987,Sweet Child O' Mine,Guns N' Roses,"rock, glam metal, hard rock, classic rock",88,5.93,False,0.272,0.563,297,28.62,50.05
1980s,1986,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,"new wave, madchester, jangle pop",84,4.08,False,0.0,0.0,0,0.0,0.0
1980s,1987,With Or Without You,U2,rock,82,4.93,False,0.285,0.4,193,34.2,39.19
1980s,1986,La Isla Bonita,Madonna,,75,4.05,False,0.148,0.45,340,32.65,84.04
1980s,2012,Bad - 2012 Remaster,Michael Jackson,,67,4.12,False,0.0,0.0,0,0.0,0.0
1980s,1985,Part-Time Lover,Stevie Wonder,"motown, classic soul, soul",73,4.21,False,0.011,0.555,283,40.28,67.23
1980s,2009,Never Ending Story,Limahl,synthpop,69,3.54,False,-0.006,0.618,129,48.84,36.48
1980s,1987,Everywhere - 2017 Remaster,Fleetwood Mac,"classic rock, yacht rock, soft rock",84,3.78,False,0.0,0.0,0,0.0,0.0
1980s,2024,Careless Whisper - Remastered,George Michael,,80,5.06,False,0.091,0.649,347,34.87,68.6
1980s,1982,P.Y.T. (Pretty Young Thing),Michael Jackson,,77,3.97,False,0.333,0.683,499,23.85,125.62
1980s,1987,Just Like Heaven - Remastered 2006,The Cure,"new wave, post-punk, gothic rock, darkwave",77,3.53,False,0.0,0.0,0,0.0,0.0
1980s,1984,Forever Young,Alphaville,synthpop,83,3.78,False,0.101,0.443,282,41.84,74.63
1980s,1982,Under Pressure - Remastered 2011,Queen,"classic rock, rock, glam rock",82,4.14,False,0.0,0.0,0,0.0,0.0
1980s,1981,Let's Groove,"Earth, Wind & Fire","funk, disco",80,5.65,False,0.077,0.39,591,17.09,104.6
1980s,2008,Beat It,Michael Jackson,,76,4.3,False,0.103,0.563,465,20.0,108.12
