Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute,Problem_Type
1990s,1999,All Star,Smash Mouth,,79,3.34,False,-0.043,0.623,480,32.08,143.73,Missing Genre Only
1990s,1997,Gettin' Jiggy Wit It,Will Smith,,73,3.8,False,0.145,0.642,691,31.98,181.9,Missing Genre Only
1990s,1998,"Tom's Diner - 7"" Version",DNA,,70,3.8,False,0.053,0.581,332,37.65,87.37,Both Missing
1990s,1992,What's Up?,4 Non Blondes,,86,4.93,False,0.157,0.43,358,25.14,72.68,Missing Genre Only
1990s,1999,No Scrubs,TLC,,82,3.57,False,0.306,0.47,643,14.62,179.94,Missing Genre Only
1990s,1997,"Men In Black - From ""Men In Black"" Soundtrack",Will Smith,,67,3.79,False,-0.062,0.488,577,34.14,152.24,Both Missing
1990s,1999,Mambo No. 5 (a Little Bit of...),Lou Bega,,78,3.67,False,-0.026,0.466,419,33.17,114.12,Missing Genre Only
1990s,1999,I Want It That Way,Backstreet Boys,,84,3.56,False,-0.152,0.43,297,21.89,83.54,Missing Genre Only
1990s,1999,The Bad Touch,Bloodhound Gang,,75,4.34,True,0.121,0.547,454,37.67,104.57,Missing Genre Only
1990s,1995,1979 - Remastered 2012,The Smashing Pumpkins,"alternative rock, rock",80,4.44,False,0.115,0.653,230,52.61,51.8,Missing Lyrics Only
1990s,2021,Nothing Else Matters - Remastered 2021,Metallica,"metal, thrash metal, rock, heavy metal, hard rock",83,6.48,False,0.168,0.615,228,28.51,35.19,Missing Lyrics Only
1990s,1999,Say My Name,Destiny's Child,,79,4.52,False,0.03,0.456,1012,15.81,223.78,Missing Genre Only
2000s,2002,Dilemma,Nelly,,82,4.82,True,0.062,0.625,923,18.96,191.52,Missing Genre Only
2000s,2005,Hung Up,Madonna,,79,5.63,False,-0.274,0.506,541,14.42,96.11,Missing Genre Only
2000s,2001,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Christina Aguilera,,67,4.41,False,0.278,0.546,486,39.3,110.2,Both Missing
2000s,2009,Meet Me Halfway,Black Eyed Peas,,81,4.74,False,-0.061,0.529,512,21.29,108.03,Missing Genre Only
2000s,2002,Sk8er Boi,Avril Lavigne,,79,3.4,False,0.143,0.465,406,36.21,119.41,Missing Genre Only
2000s,2009,I Gotta Feeling,Black Eyed Peas,,83,4.82,False,0.497,0.556,695,15.54,144.22,Missing Genre Only
2000s,2008,Don't Stop The Music,Rihanna,,85,4.45,False,0.053,0.768,683,17.13,153.44,Missing Genre Only
2000s,2009,I Know You Want Me (Calle Ocho),Pitbull,,63,3.95,False,0.252,0.414,655,23.51,165.74,Missing Genre Only
2000s,2008,Walking On A Dream,Empire Of The Sun,,85,3.31,False,0.139,0.371,263,32.7,79.52,Missing Genre Only
2000s,2006,Say It Right,Nelly Furtado,,84,3.72,False,-0.034,0.636,295,30.85,79.34,Missing Genre Only
2000s,2009,Right Round,Flo Rida,,83,3.41,False,0.018,0.415,630,30.32,184.71,Missing Genre Only
2000s,2002,All The Things She Said,t.A.T.u.,,81,3.57,True,0.118,0.64,562,21.17,157.25,Missing Genre Only
2000s,2002,Clocks,Coldplay,,85,5.13,False,-0.119,0.163,171,44.44,33.32,Missing Genre Only
2000s,2006,Maneater,Nelly Furtado,,85,4.31,False,-0.009,0.554,600,17.33,139.05,Missing Genre Only
2000s,2005,Pump It,Black Eyed Peas,,82,3.55,True,0.05,0.539,528,30.68,148.69,Missing Genre Only
2000s,2004,Unwritten,Natasha Bedingfield,,86,4.32,False,-0.049,0.527,470,20.0,108.74,Missing Genre Only
2000s,2006,The Sweet Escape,Gwen Stefani,,76,4.11,False,0.174,0.667,543,22.65,132.19,Missing Genre Only
2000s,2008,American Boy,Estelle,,81,4.75,True,0.155,0.345,735,32.38,154.88,Missing Genre Only
2000s,2008,Disturbia,Rihanna,,82,3.98,False,0.283,0.72,573,23.56,144.07,Missing Genre Only
2000s,2002,Complicated,Avril Lavigne,,84,4.08,False,-0.233,0.54,516,21.51,126.62,Missing Genre Only
2000s,2009,Rude Boy,Rihanna,,79,3.72,True,0.127,0.525,627,14.67,168.76,Missing Genre Only
2000s,2010,Alors on danse - Radio Edit,Stromae,french pop,79,3.43,False,0.0,0.0,286,34.97,83.38,Missing Lyrics Only
2000s,2003,Crazy In Love (feat. JAY-Z),Beyoncé,,79,3.94,False,0.014,0.644,849,24.73,215.73,Missing Genre Only
2000s,2006,Promiscuous,Nelly Furtado,,88,4.04,False,-0.074,0.564,681,31.57,168.64,Missing Genre Only
2000s,2008,Umbrella,Rihanna,,84,4.6,False,0.175,0.461,547,27.97,118.92,Missing Genre Only
2000s,2002,Murder On The Dancefloor,Sophie Ellis-Bextor,,80,3.83,False,0.229,0.518,444,16.22,115.82,Missing Genre Only
2000s,2005,Feel Good Inc.,Gorillaz,,90,3.71,False,0.484,0.536,423,35.46,114.0,Missing Genre Only
2000s,2007,Beautiful Liar,Beyoncé,,70,3.33,False,0.26,0.521,357,32.77,107.18,Missing Genre Only
2000s,1979,You Rock My World - Radio Edit,Michael Jackson,,68,4.45,False,0.47,0.695,689,19.59,154.88,Missing Genre Only
2000s,2006,Back To Black,Amy Winehouse,,83,4.02,True,0.009,0.37,220,35.91,54.71,Missing Genre Only
2000s,2000,Rock DJ,Robbie Williams,,71,4.31,False,0.348,0.665,390,30.77,90.5,Missing Genre Only
2000s,2004,Everybody's Changing,Keane,,79,3.6,False,0.027,0.46,202,32.18,56.14,Missing Genre Only
2000s,2005,Pon de Replay,Rihanna,,80,4.12,False,0.221,0.434,686,15.45,166.67,Missing Genre Only
2000s,2006,Smile,Lily Allen,,75,3.28,True,-0.005,0.366,449,21.38,136.83,Missing Genre Only
2000s,2004,Somewhere Only We Know,Keane,,87,3.95,False,-0.02,0.614,285,29.82,72.11,Missing Genre Only
2000s,2009,Party In The U.S.A.,Miley Cyrus,,81,3.37,False,0.38,0.593,516,26.16,153.22,Missing Genre Only
2000s,2000,Yellow,Coldplay,,91,4.45,False,0.243,0.421,213,28.17,47.91,Missing Genre Only
2000s,2003,Where Is The Love?,Black Eyed Peas,,82,4.54,False,0.164,0.592,689,35.85,151.69,Missing Genre Only
2000s,2007,This Is The Life,Amy Macdonald,,79,3.07,False,-0.058,0.491,459,18.95,149.34,Missing Genre Only
2000s,2008,Infinity 2008 - Klaas Vocal Edit,Guru Josh Project,,75,3.2,False,0.05,0.7,112,26.79,34.95,Missing Genre Only
2000s,2010,TiK ToK,Kesha,,85,3.33,False,-0.102,0.469,509,29.47,152.93,Missing Genre Only
2000s,2002,Rock Your Body,Justin Timberlake,,83,4.45,False,0.188,0.462,662,20.85,148.62,Missing Genre Only
2000s,2004,Left Outside Alone,Anastacia,,66,4.29,False,-0.018,0.28,398,25.13,92.76,Missing Genre Only
2000s,2011,Pumped Up Kicks,Foster The People,,85,3.99,False,0.254,0.457,389,24.42,97.41,Missing Genre Only
2000s,2009,Heads Will Roll,Yeah Yeah Yeahs,,70,3.68,False,-0.175,0.381,248,18.15,67.33,Missing Genre Only
2000s,2006,SexyBack (feat. Timbaland),Justin Timberlake,,86,4.05,True,0.0,0.0,454,22.03,112.22,Missing Genre Only
2000s,2010,Break Your Heart,Taio Cruz,,69,3.36,False,-0.101,0.86,388,18.04,115.51,Missing Genre Only
2000s,2007,Beautiful Girls,Sean Kingston,,80,3.76,False,0.235,0.611,431,32.25,114.74,Missing Genre Only
2000s,2007,Crazy,Gnarls Barkley,,81,2.97,False,-0.218,0.704,226,46.9,76.21,Missing Genre Only
2000s,2002,Feel,Robbie Williams,,77,4.4,False,0.15,0.591,259,34.75,58.89,Missing Genre Only
2000s,2009,4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,,77,3.16,False,0.0,0.0,498,27.11,157.52,Missing Genre Only
2000s,2001,Clint Eastwood,Gorillaz,,81,5.68,True,0.105,0.478,620,32.42,109.12,Missing Genre Only
2000s,2008,Viva La Vida,Coldplay,,87,4.04,False,0.12,0.47,341,41.35,84.42,Missing Genre Only
2000s,2007,The Way I Are,Timbaland,,86,2.99,False,0.417,0.582,397,28.21,132.98,Missing Genre Only
2000s,2008,Sex on Fire,Kings of Leon,,84,3.39,False,0.377,0.631,145,49.66,42.78,Missing Genre Only
2000s,2007,Girlfriend,Avril Lavigne,,76,3.61,True,0.189,0.575,637,16.17,176.45,Missing Genre Only
2000s,2002,The Scientist,Coldplay,,89,5.16,False,0.103,0.504,193,43.52,37.4,Missing Genre Only
2000s,2006,Lonely,Akon,,59,3.93,True,0.065,0.709,629,24.48,160.05,Missing Genre Only
2010s,2011,Where Have You Been,Rihanna,,79,4.04,False,0.225,0.5,300,16.33,74.17,Missing Genre Only
2010s,2017,ocean eyes,Billie Eilish,,82,3.34,False,-0.073,0.585,223,43.05,66.77,Missing Genre Only
2010s,2012,Beauty And A Beat,Justin Bieber,,79,3.8,False,0.16,0.418,359,36.77,94.48,Missing Genre Only
2010s,2018,Let Me Down Slowly,Alec Benjamin,,83,2.82,False,-0.185,0.372,430,21.4,152.34,Missing Genre Only
2010s,2010,Airplanes (feat. Hayley Williams of Paramore),B.o.B,,79,3.01,True,0.16,0.379,538,29.55,178.86,Missing Genre Only
2010s,2018,Eastside (with Halsey & Khalid),benny blanco,,73,2.9,False,0.134,0.402,498,30.52,171.72,Both Missing
2010s,2015,Run Away With Me,Carly Rae Jepsen,,48,4.19,False,0.039,0.485,439,22.1,104.81,Missing Genre Only
2010s,2011,Give Me Everything (feat. Nayer),Pitbull,,87,4.21,False,0.223,0.506,674,23.29,160.28,Missing Genre Only
2010s,2010,The Time (Dirty Bit),Black Eyed Peas,,52,5.13,False,0.077,0.548,540,30.56,105.32,Missing Genre Only
2010s,2013,I Love It (feat. Charli XCX),Icona Pop,,75,2.62,True,0.205,0.56,328,18.9,125.23,Missing Genre Only
2010s,2010,Only Girl (In The World),Rihanna,,74,3.92,False,0.097,0.824,429,19.35,109.3,Missing Genre Only
2010s,2013,Safe and Sound,Capital Cities,,83,3.21,False,0.412,0.437,307,19.22,95.54,Missing Genre Only
2010s,2012,Locked out of Heaven,Bruno Mars,,89,3.89,False,0.044,0.415,324,27.47,83.26,Missing Genre Only
2010s,2011,We Found Love,Rihanna,,79,3.59,False,0.412,0.548,218,27.98,60.77,Missing Genre Only
2010s,2017,See You Again (feat. Kali Uchis),"Tyler, The Creator",,89,3.01,True,0.192,0.529,483,27.74,160.66,Missing Genre Only
2010s,2011,Midnight City,M83,,79,4.07,False,-0.133,0.367,144,22.92,35.42,Missing Genre Only
2010s,2015,Ride,Twenty One Pilots,,84,3.58,False,0.144,0.28,446,24.44,124.75,Missing Genre Only
2010s,2012,Feel So Close - Radio Edit,Calvin Harris,edm,81,3.44,False,0.222,0.458,134,25.37,38.95,Missing Lyrics Only
2010s,2013,Stolen Dance,Milky Chance,,80,5.23,False,0.066,0.458,355,24.51,67.9,Missing Genre Only
2010s,2015,Wait a Minute!,WILLOW,,81,3.28,False,0.125,0.376,343,30.9,104.72,Missing Genre Only
2010s,2010,S&M,Rihanna,,73,4.06,True,0.294,0.583,506,17.0,124.66,Missing Genre Only
2010s,2013,Scream & Shout,will.i.am,,80,4.72,True,-0.004,0.463,552,18.84,116.87,Missing Genre Only
2010s,2015,Adventure of a Lifetime,Coldplay,,84,4.4,False,0.178,0.686,282,30.14,64.14,Missing Genre Only
2010s,2012,Video Games,Lana Del Rey,,74,4.7,False,0.106,0.541,407,29.24,86.61,Missing Genre Only
2010s,2015,Where Are Ü Now (with Justin Bieber),Jack Ü,,77,4.17,False,0.099,0.496,253,30.43,60.67,Both Missing
2010s,2013,We Can't Stop,Miley Cyrus,,80,3.85,False,0.342,0.595,614,19.71,159.32,Missing Genre Only
2010s,2016,Somebody Else,The 1975,,74,5.79,True,-0.108,0.668,530,19.06,91.5,Missing Genre Only
2010s,2015,What Do You Mean?,Justin Bieber,,83,3.43,False,-0.029,0.569,494,19.23,144.11,Missing Genre Only
2010s,2018,I Like It,Cardi B,,79,4.22,True,0.009,0.666,814,37.1,192.75,Missing Genre Only
2010s,2009,Stereo Love - Edit,Edward Maya,,69,3.07,False,0.279,0.536,274,35.04,89.34,Missing Genre Only
2010s,2013,Team,Lorde,,81,3.22,False,0.138,0.529,390,33.33,121.21,Missing Genre Only
2010s,2015,Can't Feel My Face,The Weeknd,,84,3.56,False,0.292,0.611,550,12.73,154.55,Missing Genre Only
2010s,2016,Love On The Brain,Rihanna,,87,3.73,True,0.347,0.686,362,26.8,96.96,Missing Genre Only
2010s,2014,Habits (Stay High),Tove Lo,,77,3.49,False,-0.004,0.498,350,30.57,100.4,Missing Genre Only
2010s,2015,Electric Love,BØRNS,,80,3.64,False,0.435,0.585,205,32.68,56.39,Missing Genre Only
2010s,2013,Love Me Again,John Newman,,79,4.0,False,0.269,0.595,284,26.41,71.03,Missing Genre Only
2010s,2017,Supercut,Lorde,,79,4.63,False,0.017,0.563,404,23.02,87.35,Missing Genre Only
2010s,2011,Party Rock Anthem,LMFAO,,75,4.37,False,0.297,0.484,501,26.55,114.67,Missing Genre Only
2010s,2016,Pink + White,Frank Ocean,,86,3.08,False,0.067,0.368,332,48.19,107.96,Missing Genre Only
2010s,2014,Time of Our Lives,Pitbull,,85,3.82,True,0.132,0.506,675,26.96,176.58,Missing Genre Only
2010s,2012,We Are Young (feat. Janelle Monáe),fun.,,80,4.18,False,0.016,0.336,366,32.51,87.62,Missing Genre Only
2010s,2010,Nothin' on You (feat. Bruno Mars),B.o.B,,56,4.47,False,0.2,0.3,461,45.34,103.09,Missing Genre Only
2010s,2018,SLOW DANCING IN THE DARK,Joji,,87,3.49,True,-0.024,0.479,281,30.25,80.56,Missing Genre Only
2010s,2012,Boyfriend,Justin Bieber,,63,2.86,False,0.314,0.656,436,28.67,152.69,Missing Genre Only
2010s,2017,Unforgettable,French Montana,,86,3.9,True,0.093,0.549,560,30.36,143.65,Missing Genre Only
2010s,2013,Sweater Weather,The Neighbourhood,,92,4.01,False,-0.113,0.663,364,36.54,90.85,Missing Genre Only
2010s,2015,Cool for the Summer,Demi Lovato,,79,3.58,True,0.079,0.545,379,21.37,105.9,Missing Genre Only
2010s,2011,Somebody That I Used To Know,Gotye,,62,4.08,False,0.222,0.6,392,30.1,96.05,Missing Genre Only
2010s,2012,Can't Hold Us (feat. Ray Dalton),Macklemore,,79,4.31,False,0.051,0.361,780,29.87,181.16,Missing Genre Only
2010s,2015,Daddy Issues,The Neighbourhood,,86,4.34,False,-0.169,0.47,428,25.47,98.71,Missing Genre Only
2010s,2012,Born To Die,Lana Del Rey,,57,4.77,False,-0.117,0.497,562,22.06,117.8,Missing Genre Only
2010s,2017,Lush Life,Zara Larsson,,86,3.34,False,0.053,0.334,490,23.27,146.53,Missing Genre Only
2010s,2015,Locked Away (feat. Adam Levine),R. City,,83,3.79,False,0.227,0.48,658,19.76,173.56,Missing Genre Only
2010s,2012,Starships,Nicki Minaj,,79,3.51,True,0.306,0.551,415,30.84,118.22,Missing Genre Only
2010s,2016,Redbone,Childish Gambino,,83,5.45,True,0.008,0.495,303,30.69,55.61,Missing Genre Only
2010s,2016,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,,81,3.3,True,-0.275,0.726,350,32.29,106.1,Missing Genre Only
2010s,2019,Streets,Doja Cat,,84,3.78,True,-0.065,0.484,469,34.97,123.98,Missing Genre Only
2010s,2010,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,pop,82,3.36,False,0.043,0.692,493,25.15,146.73,Missing Lyrics Only
2020s,2020,telepatía,Kali Uchis,,83,2.67,False,0.162,0.504,281,38.79,105.25,Missing Genre Only
2020s,2024,i like the way you kiss me,Artemas,,76,2.38,False,0.234,0.541,419,18.62,176.4,Missing Genre Only
2020s,2023,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,,92,4.08,False,0.272,0.585,415,27.47,101.72,Both Missing
2020s,2022,End of Beginning,Djo,,91,2.65,False,0.147,0.23,200,36.5,75.36,Missing Genre Only
2020s,2024,"Good Luck, Babe!",Chappell Roan,,90,3.64,False,0.334,0.588,482,24.69,132.4,Missing Genre Only
2020s,2022,Die For You,Joji,,81,3.53,False,0.212,0.561,240,44.17,68.03,Missing Genre Only
2020s,2021,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,,79,3.18,False,0.138,0.336,282,34.4,88.68,Both Missing
2020s,2024,back to friends,sombr,,92,3.32,False,-0.134,0.237,206,37.86,62.1,Missing Genre Only
2020s,2021,Happier Than Ever,Billie Eilish,,85,4.98,True,0.002,0.626,366,40.98,73.47,Missing Genre Only
2020s,2023,Back On 74,Jungle,,80,3.49,False,0.0,0.148,326,19.33,93.37,Missing Genre Only
2020s,2023,vampire,Olivia Rodrigo,,85,3.66,True,-0.088,0.666,409,36.67,111.69,Missing Genre Only
2020s,2025,Show Me Love,WizTheMc,,85,2.95,False,0.443,0.593,447,18.34,151.56,Missing Genre Only
2020s,2020,Angels Like You,Miley Cyrus,,81,3.27,False,0.152,0.582,336,30.06,102.62,Missing Genre Only
2020s,2024,Messy,Lola Young,,84,4.73,True,-0.182,0.715,552,28.44,116.59,Missing Genre Only
2020s,2022,Bad Habit,Steve Lacy,,73,3.87,True,-0.078,0.583,433,29.56,111.93,Missing Genre Only
2020s,2021,deja vu,Olivia Rodrigo,,86,3.59,True,0.095,0.61,334,40.12,92.99,Missing Genre Only
2020s,2023,Escapism.,RAYE,,84,4.54,True,-0.083,0.369,753,32.27,165.88,Missing Genre Only
2020s,2023,greedy,Tate McRae,,67,2.16,True,-0.029,0.605,305,35.74,141.11,Missing Genre Only
2020s,2021,Kiss Me More (feat. SZA),Doja Cat,,85,3.48,True,0.0,0.0,469,41.15,134.86,Missing Genre Only
2020s,2023,(It Goes Like) Nanana - Edit,Peggy Gou,,75,3.86,False,-0.4,0.7,208,13.46,53.9,Missing Genre Only
2020s,2022,Romantic Homicide,d4vd,,86,2.21,False,-0.205,0.414,103,61.17,46.6,Missing Genre Only
2020s,2021,Woman,Doja Cat,,84,2.88,True,0.215,0.562,450,38.44,156.41,Missing Genre Only
2020s,2022,Glimpse of Us,Joji,,84,3.89,False,0.182,0.645,313,32.59,80.44,Missing Genre Only
2020s,2022,golden hour,JVKE,,80,3.49,False,0.09,0.48,203,50.25,58.21,Missing Genre Only
2020s,2020,cardigan,Taylor Swift,,85,3.99,False,0.128,0.421,350,38.0,87.66,Missing Genre Only
2020s,2022,As It Was,Harry Styles,,88,2.79,False,0.054,0.216,260,37.31,93.24,Missing Genre Only
2020s,2021,drivers license,Olivia Rodrigo,,86,4.03,True,0.098,0.508,390,34.36,96.69,Missing Genre Only
2020s,2024,BIRDS OF A FEATHER,Billie Eilish,,95,3.51,False,0.225,0.522,331,34.14,94.4,Missing Genre Only
2020s,2023,Here With Me,d4vd,,85,4.04,False,0.239,0.408,189,46.03,46.77,Missing Genre Only
2020s,2021,edamame,bbno$,,79,2.23,True,0.013,0.491,553,35.08,248.16,Missing Genre Only
2020s,2020,Heather,Conan Gray,,86,3.3,False,0.087,0.511,224,36.61,67.87,Missing Genre Only
2020s,2024,luther (with sza),Kendrick Lamar,"hip hop, west coast hip hop",85,2.96,False,0.222,0.502,432,34.26,145.95,Missing Lyrics Only
2020s,2021,I WANNA BE YOUR SLAVE,Måneskin,,83,2.89,True,-0.023,0.608,412,25.97,142.6,Missing Genre Only
2020s,2021,good 4 u,Olivia Rodrigo,,82,2.97,True,0.389,0.544,434,28.34,146.17,Missing Genre Only
2020s,2023,Strangers,Kenya Grace,,76,2.88,False,-0.119,0.342,354,25.42,122.8,Missing Genre Only
2020s,2020,august,Taylor Swift,,85,4.37,False,-0.018,0.464,404,25.0,92.55,Missing Genre Only
2020s,2023,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,,85,3.71,False,0.113,0.697,179,35.2,48.25,Both Missing
2020s,2020,Meet Me At Our Spot,THE ANXIETY,,74,2.71,True,-0.061,0.411,321,27.41,118.39,Missing Genre Only
2020s,2022,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,,82,3.69,True,0.218,0.393,476,32.35,129.0,Both Missing
2020s,2022,Boyfriend,Dove Cameron,,72,2.55,True,0.215,0.526,318,29.25,124.71,Missing Genre Only
2020s,2021,Life Goes On,Oliver Tree,,73,2.7,False,-0.062,0.583,329,23.4,122.0,Missing Genre Only
2020s,2024,Fortnight (feat. Post Malone),Taylor Swift,,82,3.82,False,-0.5,1.0,328,37.5,85.95,Missing Genre Only
2020s,2025,Mystical Magical,Benson Boone,,83,2.76,False,0.245,0.591,314,34.71,113.67,Missing Genre Only
2020s,2023,Paint The Town Red,Doja Cat,,76,3.84,True,0.122,0.492,672,26.64,174.95,Missing Genre Only
2020s,2025,Sailor Song,Gigi Perez,,87,3.53,False,-0.144,0.669,332,37.65,93.97,Missing Genre Only
2020s,2021,Until I Found You,Stephen Sanchez,,79,2.96,False,0.5,0.6,178,26.97,60.09,Missing Genre Only
2020s,2023,From The Start,Laufey,,87,2.83,False,0.171,0.646,213,47.89,75.37,Missing Genre Only
2020s,2024,That’s So True,Gracie Abrams,,90,2.77,True,-0.009,0.499,366,36.89,132.05,Missing Genre Only
2020s,2021,you broke me first,Tate McRae,,85,2.84,True,0.012,0.383,349,31.23,123.01,Missing Genre Only
2020s,2021,MONTERO (Call Me By Your Name),Lil Nas X,,75,2.3,True,-0.015,0.574,405,36.79,176.47,Missing Genre Only
2020s,2023,Lose Control,Teddy Swims,,90,3.51,False,0.042,0.41,322,36.65,91.7,Missing Genre Only
2020s,2023,Dance The Night - From Barbie The Album,Dua Lipa,pop,80,2.94,False,0.292,0.409,424,25.71,144.22,Missing Lyrics Only
2020s,2019,Supalonely,BENEE,,67,3.72,True,-0.216,0.65,430,27.21,115.45,Missing Genre Only
2020s,2022,Bam Bam (feat. Ed Sheeran),Camila Cabello,,72,3.43,False,-0.011,0.336,487,28.13,142.12,Missing Genre Only
2020s,2024,Beautiful Things,Benson Boone,,89,3.01,False,0.386,0.687,274,39.05,91.18,Missing Genre Only
2020s,2022,ceilings,Lizzy McAlpine,,81,3.05,False,0.304,0.601,212,44.34,69.55,Missing Genre Only
2020s,2023,My Love Mine All Mine,Mitski,,87,2.3,False,0.3,0.488,144,41.67,62.71,Missing Genre Only
2020s,2024,Daylight,David Kushner,,84,3.55,False,-0.056,0.461,348,28.74,98.05,Missing Genre Only
2020s,2020,hot girl bummer,blackbear,,74,3.14,True,-0.38,0.724,537,19.93,171.07,Missing Genre Only
2020s,2021,Ghost,Justin Bieber,,85,2.55,False,0.31,0.379,240,26.25,94.0,Missing Genre Only
2020s,2024,MUTT,Leon Thomas,,73,3.22,True,-0.075,0.379,338,26.63,104.9,Missing Genre Only
2020s,2025,Ordinary,Alex Warren,,91,3.12,False,-0.152,0.469,364,31.87,116.81,Missing Genre Only
2020s,2021,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,,75,3.54,True,0.004,0.385,658,33.89,185.92,Missing Genre Only
2020s,2020,Wonder,Shawn Mendes,,67,2.88,False,0.271,0.687,290,28.97,100.76,Missing Genre Only
2020s,2022,SNAP,Rosa Linn,,81,2.99,False,0.233,0.31,271,35.79,90.56,Missing Genre Only
2020s,2020,Blinding Lights,The Weeknd,,90,3.33,False,0.032,0.512,291,32.65,87.28,Missing Genre Only
